frequency = 1498962292.904734 Hz; phi = 0 rad
theta(rad) Re(E_r) Im(E_r) Re(E_theta) Im(E_theta) Re(E_phi) Im(E_phi)
0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 -9.112312187816456e-02 -2.255420366511496e-01 0.000000000000000e+00 0.000000000000000e+00
1.050699884143744e-02 3.507879829091663e-04 -1.500622977341688e-04 -9.063422037018105e-02 -2.245000490340488e-01 0.000000000000000e+00 0.000000000000000e+00
2.101399768287487e-02 6.950466872293013e-04 -2.965110759976903e-04 -8.917896441911143e-02 -2.213934466386621e-01 0.000000000000000e+00 0.000000000000000e+00
3.152099652431230e-02 1.026405482724216e-03 -4.358361955773155e-04 -8.679137574092806e-02 -2.162798379525042e-01 0.000000000000000e+00 0.000000000000000e+00
4.202799536574974e-02 1.338806623302915e-03 -5.647310955237969e-04 -8.352708712795634e-02 -2.092536741008754e-01 0.000000000000000e+00 0.000000000000000e+00
5.253499420718718e-02 1.626650790321746e-03 -6.801867291126219e-04 -7.946177181868620e-02 -2.004439502804835e-01 0.000000000000000e+00 0.000000000000000e+00
6.304199304862461e-02 1.884929924538052e-03 -7.795763594776036e-04 -7.468901241725572e-02 -1.900110782644577e-01 0.000000000000000e+00 0.000000000000000e+00
7.354899189006205e-02 2.109343709138980e-03 -8.607286305222891e-04 -6.931767453759342e-02 -1.781430171853585e-01 0.000000000000000e+00 0.000000000000000e+00
8.405599073149948e-02 2.296396555712545e-03 -9.219867052173184e-04 -6.346886531448460e-02 -1.650507701343310e-01 0.000000000000000e+00 0.000000000000000e+00
9.456298957293692e-02 2.443472527263444e-03 -9.622517100552888e-04 -5.727256932040273e-02 -1.509633712086142e-01 0.000000000000000e+00 0.000000000000000e+00
1.050699884143744e-01 2.548886289034402e-03 -9.810092264654405e-04 -5.086406385890336e-02 -1.361225009927333e-01 0.000000000000000e+00 0.000000000000000e+00
1.155769872558118e-01 2.611908888473750e-03 -9.783381107934923e-04 -4.438022177899957e-02 -1.207768776855094e-01 0.000000000000000e+00 0.000000000000000e+00
1.260839860972492e-01 2.632767907867489e-03 -9.549014862247802e-04 -3.795581268859879e-02 -1.051765759283170e-01 0.000000000000000e+00 0.000000000000000e+00
1.365909849386867e-01 2.612622283907081e-03 -9.119203142392080e-04 -3.171991266044128e-02 -8.956742573362179e-02 0.000000000000000e+00 0.000000000000000e+00
1.470979837801241e-01 2.553512824457573e-03 -8.511305014069154e-04 -2.579252827101069e-02 -7.418563977739638e-02 0.000000000000000e+00 0.000000000000000e+00
1.576049826215615e-01 2.458290151366698e-03 -7.747250115671441e-04 -2.028153324342558e-02 -5.925280886802325e-02 0.000000000000000e+00 0.000000000000000e+00
1.681119814629990e-01 2.330522437956066e-03 -6.852829170798987e-04 -1.528000534970454e-02 -4.497139293162054e-02 0.000000000000000e+00 0.000000000000000e+00
1.786189803044364e-01 2.174385871520165e-03 -5.856877208636837e-04 -1.086403792624988e-02 -3.152081877863106e-02 0.000000000000000e+00 0.000000000000000e+00
1.891259791458738e-01 1.994541237958935e-03 -4.790376007019357e-04 -7.091084822357969e-03 -1.905427676578131e-02 0.000000000000000e+00 0.000000000000000e+00
1.996329779873113e-01 1.796000384026449e-03 -3.685504587582526e-04 -3.998880354085617e-03 -7.696286859989723e-03 -0.000000000000000e+00 0.000000000000000e+00
2.101399768287487e-01 1.583986552519390e-03 -2.574667953760487e-04 -1.604957449814400e-03 2.458918763938543e-03 -0.000000000000000e+00 0.000000000000000e+00
2.206469756701862e-01 1.363792700892482e-03 -1.489534632412283e-04 9.323174382167904e-05 1.134817386418201e-02 -0.000000000000000e+00 0.000000000000000e+00
2.311539745116236e-01 1.140641902081131e-03 -4.601129539262674e-05 1.117607356329186e-03 1.893931895510330e-02 0.000000000000000e+00 -0.000000000000000e+00
2.416609733530610e-01 9.195537896692164e-04 4.861055880291220e-05 1.508198077604853e-03 2.523033093348592e-02 0.000000000000000e+00 -0.000000000000000e+00
2.521679721944984e-01 7.052207537997047e-04 1.324910055858985e-04 1.321371766754730e-03 3.024769057393472e-02 0.000000000000000e+00 -0.000000000000000e+00
2.626749710359359e-01 5.018972289974537e-04 2.036018341761621e-04 6.276249459760734e-04 3.404405798468001e-02 0.000000000000000e+00 -0.000000000000000e+00
2.731819698773733e-01 3.133049533342328e-04 2.603591485973618e-04 -4.909915238298290e-04 3.669534460078924e-02 0.000000000000000e+00 -0.000000000000000e+00
2.836889687188108e-01 1.425565360784955e-04 3.016600103547945e-04 -1.943723231251425e-03 3.829728570802426e-02 0.000000000000000e+00 -0.000000000000000e+00
2.941959675602482e-01 -7.900933611356751e-06 3.269033958887010e-04 -3.634145029076440e-03 3.896162941217891e-02 0.000000000000000e+00 -0.000000000000000e+00
3.047029664016856e-01 -1.363211511660869e-04 3.359950934075918e-04 -5.463277523750495e-03 3.881206608781807e-02 0.000000000000000e+00 -0.000000000000000e+00
3.152099652431231e-01 -2.416723162829130e-04 3.293366899504643e-04 -7.332688227105985e-03 3.798002647496362e-02 0.000000000000000e+00 -0.000000000000000e+00
3.257169640845605e-01 -3.236295571695530e-04 3.077993137032279e-04 -9.147480927258936e-03 3.660047669047672e-02 0.000000000000000e+00 0.000000000000000e+00
3.362239629259979e-01 -3.825469543389757e-04 2.726832816392625e-04 -1.081908250188937e-02 3.480783456074594e-02 0.000000000000000e+00 0.000000000000000e+00
3.467309617674353e-01 -4.194106627106527e-04 2.256652425584268e-04 -1.226774492689875e-02 3.273212406721842e-02 0.000000000000000e+00 0.000000000000000e+00
3.572379606088728e-01 -4.357751740999841e-04 1.687347863315922e-04 -1.342469129700392e-02 3.049547364721647e-02 0.000000000000000e+00 0.000000000000000e+00
3.677449594503102e-01 -4.336852288718166e-04 1.041227995422136e-04 -1.423384786445258e-02 2.820905003455531e-02 0.000000000000000e+00 0.000000000000000e+00
3.782519582917477e-01 -4.155862620571982e-04 3.422407624222075e-05 -1.465311894039584e-02 2.597050277289627e-02 0.000000000000000e+00 0.000000000000000e+00
3.887589571331851e-01 -3.842265452482156e-04 -3.848316648710645e-05 -1.465517746666031e-02 2.386197607493194e-02 0.000000000000000e+00 0.000000000000000e+00
3.992659559746226e-01 -3.425543542596029e-04 -1.115181686356036e-04 -1.422776059645191e-02 2.194872496918476e-02 0.000000000000000e+00 0.000000000000000e+00
4.097729548160600e-01 -2.936135506163768e-04 -1.824762452592520e-04 -1.337347615415508e-02 2.027835233825690e-02 0.000000000000000e+00 0.000000000000000e+00
4.202799536574974e-01 -2.404409128820350e-04 -2.491026152755083e-04 -1.210914181696052e-02 1.888066317943476e-02 0.000000000000000e+00 0.000000000000000e+00
4.307869524989348e-01 -1.859683957517192e-04 -3.093591278390244e-04 -1.046469374286889e-02 1.776811286586473e-02 0.000000000000000e+00 0.000000000000000e+00
4.412939513403723e-01 -1.329332382258292e-04 -3.614818616483865e-04 -8.481714673512246e-03 1.693680797228969e-02 0.000000000000000e+00 0.000000000000000e+00
4.518009501818097e-01 -8.379849766409125e-05 -4.040279248139060e-04 -6.211642841899021e-03 1.636800191359789e-02 0.000000000000000e+00 0.000000000000000e+00
4.623079490232472e-01 -4.068616744245570e-05 -4.359101858803246e-04 -3.713731964602000e-03 1.603001371309915e-02 0.000000000000000e+00 0.000000000000000e+00
4.728149478646846e-01 -5.324557873558986e-06 -4.564191055617796e-04 -1.052838932775299e-03 1.588048706587449e-02 0.000000000000000e+00 0.000000000000000e+00
4.833219467061221e-01 2.098889981625118e-05 -4.652312980393288e-04 1.702880630848634e-03 1.586889878483905e-02 0.000000000000000e+00 0.000000000000000e+00
4.938289455475595e-01 3.740881003905006e-05 -4.624049140318180e-04 4.484288079617334e-03 1.593922089826401e-02 0.000000000000000e+00 0.000000000000000e+00
5.043359443889969e-01 4.354686174929060e-05 -4.483623891249313e-04 7.223509961691692e-03 1.603263917861368e-02 0.000000000000000e+00 0.000000000000000e+00
5.148429432304343e-01 3.946123617302120e-05 -4.238615244956588e-04 9.856044799309502e-03 1.609023268146693e-02 0.000000000000000e+00 0.000000000000000e+00
5.253499420718718e-01 2.563134330871570e-05 -3.899562487893731e-04 1.232266174566304e-02 1.605552380783624e-02 0.000000000000000e+00 -0.000000000000000e+00
5.358569409133092e-01 2.919313284870800e-06 -3.479487368186775e-04 1.457103386226177e-02 1.587681621871955e-02 -0.000000000000000e+00 0.000000000000000e+00
5.463639397547466e-01 -2.747993670786688e-05 -2.993348222604495e-04 1.655705996601468e-02 1.550924828109728e-02 -0.000000000000000e+00 0.000000000000000e+00
5.568709385961841e-01 -6.409791787595967e-05 -2.457448294888027e-04 1.824584154781823e-02 1.491650218549882e-02 -0.000000000000000e+00 0.000000000000000e+00
5.673779374376215e-01 -1.052586866245123e-04 -1.888820585655498e-04 1.961229468733603e-02 1.407212296109193e-02 -0.000000000000000e+00 0.000000000000000e+00
5.778849362790589e-01 -1.491493309335703e-04 -1.304611846164375e-04 2.064139068319814e-02 1.296041679539742e-02 -0.000000000000000e+00 0.000000000000000e+00
5.883919351204964e-01 -1.938922349390214e-04 -7.214877866285705e-05 2.132803277953862e-02 1.157691378859288e-02 -0.000000000000000e+00 0.000000000000000e+00
5.988989339619338e-01 -2.376165614427349e-04 -1.550802466295411e-05 2.167658940736059e-02 9.928395978212313e-03 -0.000000000000000e+00 0.000000000000000e+00
6.094059328033713e-01 -2.785265103601112e-04 3.805049698887546e-05 2.170011631124631e-02 8.032506615498416e-03 -0.000000000000000e+00 0.000000000000000e+00
6.199129316448087e-01 -3.149641100920766e-04 8.731035747562051e-05 2.141931038380283e-02 5.916970749484885e-03 -0.000000000000000e+00 0.000000000000000e+00
6.304199304862461e-01 -3.454645693656603e-04 1.312818783398486e-04 2.086124662807572e-02 3.618469719540795e-03 -0.000000000000000e+00 0.000000000000000e+00
