frequency = 899377375.7428404 Hz; phi = 0 rad
theta(rad) Re(E_r) Im(E_r) Re(E_theta) Im(E_theta) Re(E_phi) Im(E_phi)
0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 -2.683891892923520e-02 -8.183845817417124e-02 0.000000000000000e+00 0.000000000000000e+00
1.050699884143744e-02 3.403690737829358e-05 4.957441372359248e-06 -2.682788732146415e-02 -8.172158934130963e-02 0.000000000000000e+00 0.000000000000000e+00
2.101399768287487e-02 6.789198099083017e-05 9.838210425767976e-06 -2.679471721038757e-02 -8.137158924740373e-02 0.000000000000000e+00 0.000000000000000e+00
3.152099652431230e-02 1.013846800701379e-04 1.456661473767404e-05 -2.673918449198956e-02 -8.079027289700075e-02 0.000000000000000e+00 0.000000000000000e+00
4.202799536574974e-02 1.343370383667215e-04 1.906890823673024e-05 -2.666092149404131e-02 -7.998065130260437e-02 0.000000000000000e+00 0.000000000000000e+00
5.253499420718718e-02 1.665749228333042e-04 2.327423097419969e-05 -2.655942562250587e-02 -7.894691062015789e-02 0.000000000000000e+00 0.000000000000000e+00
6.304199304862461e-02 1.979292583566376e-04 2.711550936408613e-05 -2.643407125822139e-02 -7.769438319338053e-02 0.000000000000000e+00 0.000000000000000e+00
7.354899189006205e-02 2.282372077779115e-04 3.053030462845684e-05 -2.628412469964379e-02 -7.622951075847487e-02 0.000000000000000e+00 0.000000000000000e+00
8.405599073149948e-02 2.573432969134010e-04 3.346159795093249e-05 -2.610876189480563e-02 -7.455980012812574e-02 0.000000000000000e+00 0.000000000000000e+00
9.456298957293692e-02 2.851004748630453e-04 3.585850177285189e-05 -2.590708865783773e-02 -7.269377173765833e-02 0.000000000000000e+00 0.000000000000000e+00
1.050699884143744e-01 3.113711005713187e-04 3.767688775379110e-05 -2.567816302225027e-02 -7.064090149632564e-02 0.000000000000000e+00 0.000000000000000e+00
