frequency = 599584917.1618936 Hz; phi = 0 rad
theta(rad) Re(E_r) Im(E_r) Re(E_theta) Im(E_theta) Re(E_phi) Im(E_phi)
0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 -1.249776219876726e-02 -4.145755130684726e-02 0.000000000000000e+00 0.000000000000000e+00
1.050699884143744e-02 9.134288217238596e-06 7.369265511319135e-07 -1.249461035912278e-02 -4.142585250809431e-02 0.000000000000000e+00 0.000000000000000e+00
2.101399768287487e-02 1.824407944528710e-05 1.467912797636558e-06 -1.248515788951765e-02 -4.133083838680960e-02 0.000000000000000e+00 0.000000000000000e+00
3.152099652431230e-02 2.730495493693757e-05 2.187043410894273e-06 -1.246941390253543e-02 -4.117275550871807e-02 0.000000000000000e+00 0.000000000000000e+00
4.202799536574974e-02 3.629265214776430e-05 2.888452914005628e-06 -1.244739346801127e-02 -4.095201395368896e-02 0.000000000000000e+00 0.000000000000000e+00
5.253499420718718e-02 4.518314213577326e-05 3.566350357500984e-06 -1.241911743761655e-02 -4.066918602449909e-02 0.000000000000000e+00 0.000000000000000e+00
6.304199304862461e-02 5.395270612216061e-05 4.215043696516399e-06 -1.238461220180260e-02 -4.032500444564928e-02 0.000000000000000e+00 0.000000000000000e+00
7.354899189006205e-02 6.257801093826474e-05 4.828963772407135e-06 -1.234390938168233e-02 -3.992036005872349e-02 0.000000000000000e+00 0.000000000000000e+00
8.405599073149948e-02 7.103618309036949e-05 5.402687804704376e-06 -1.229704545892064e-02 -3.945629902265452e-02 0.000000000000000e+00 0.000000000000000e+00
9.456298957293692e-02 7.930488117603639e-05 5.930962301007599e-06 -1.224406134769028e-02 -3.893401952894262e-02 0.000000000000000e+00 0.000000000000000e+00
1.050699884143744e-01 8.736236639645531e-05 6.408725296788195e-06 -1.218500191310188e-02 -3.835486804369765e-02 0.000000000000000e+00 0.000000000000000e+00
1.155769872558118e-01 9.518757091233962e-05 6.831127840098011e-06 -1.211991544119535e-02 -3.772033509003877e-02 0.000000000000000e+00 0.000000000000000e+00
1.260839860972492e-01 1.027601638055547e-04 7.193554640751242e-06 -1.204885306633466e-02 -3.703205058596452e-02 0.000000000000000e+00 0.000000000000000e+00
1.365909849386867e-01 1.100606144114989e-04 7.491643807817066e-06 -1.197186816207859e-02 -3.629177875446401e-02 0.000000000000000e+00 0.000000000000000e+00
1.470979837801241e-01 1.170702528031591e-04 7.721305604355721e-06 -1.188901570233381e-02 -3.550141262406710e-02 0.000000000000000e+00 0.000000000000000e+00
1.576049826215615e-01 1.237713272164856e-04 7.878740153409524e-06 -1.180035159990967e-02 -3.466296813948789e-02 0.000000000000000e+00 0.000000000000000e+00
1.681119814629990e-01 1.301470582196088e-04 7.960454034712312e-06 -1.170593203001809e-02 -3.377857790335707e-02 0.000000000000000e+00 0.000000000000000e+00
1.786189803044364e-01 1.361816894416766e-04 7.963275717172500e-06 -1.160581274655460e-02 -3.285048457129969e-02 0.000000000000000e+00 0.000000000000000e+00
1.891259791458738e-01 1.418605346894131e-04 7.884369777992990e-06 -1.150004839937314e-02 -3.188103392375236e-02 0.000000000000000e+00 0.000000000000000e+00
1.996329779873113e-01 1.471700212960525e-04 7.721249864912082e-06 -1.138869186076545e-02 -3.087266763905404e-02 0.000000000000000e+00 0.000000000000000e+00
2.101399768287487e-01 1.520977295609077e-04 7.471790364686679e-06 -1.127179356971712e-02 -2.982791579324657e-02 0.000000000000000e+00 0.000000000000000e+00
2.206469756701862e-01 1.566324281500059e-04 7.134236744907346e-06 -1.114940090251679e-02 -2.874938911291167e-02 0.000000000000000e+00 0.000000000000000e+00
