frequency = 2997924585.809468 Hz; phi = 1.5707963267948966 rad
theta(rad) Re(E_r) Im(E_r) Re(E_theta) Im(E_theta) Re(E_phi) Im(E_phi)
0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 -4.634404203094571e-01 -6.684910361627187e-01 0.000000000000000e+00 0.000000000000000e+00
1.050699884143744e-02 1.539372638179476e-19 -1.629632543839516e-19 -2.783721929985219e-17 -4.043633272307683e-17 4.545992892027772e-01 6.607560289441634e-01
2.101399768287487e-02 3.006261035644841e-19 -3.141597251417254e-19 -2.625490069177232e-17 -3.896877532741483e-17 4.286849599397271e-01 6.378862603410286e-01
3.152099652431230e-02 4.332295001985060e-19 -4.428402868561889e-19 -2.374320782126601e-17 -3.659905338576734e-17 3.874753608058317e-01 6.008705344524451e-01
4.202799536574974e-02 5.457096726767212e-19 -5.401941945956921e-19 -2.047909093950935e-17 -3.343696144508214e-17 3.337738153072569e-01 5.513011557984847e-01
5.253499420718718e-02 6.331698517870944e-19 -6.000857840366423e-19 -1.668876777174981e-17 -2.962744465851661e-17 2.711839360361507e-01 4.912932028351107e-01
6.304199304862461e-02 6.921296818273092e-19 -6.195387131736358e-19 -1.262866711297843e-17 -2.534243721166228e-17 2.038225334123716e-01 4.233770766627445e-01
7.354899189006205e-02 7.207171964726742e-19 -5.989247764464395e-19 -8.564157033160417e-18 -2.077120228804267e-17 1.359954641423431e-01 3.503696783362503e-01
8.405599073149948e-02 7.187646265866302e-19 -5.418439086421355e-19 -4.748022594569857e-18 -1.610974300634718e-17 7.186432976224179e-02 2.752307792791560e-01
9.456298957293692e-02 6.878005720098600e-19 -4.547125866127211e-19 -1.400647434292447e-18 -1.154991884090540e-17 1.513237625022802e-02 2.009121004625520e-01
1.050699884143744e-01 6.309371364938540e-19 -3.461062390549025e-19 1.306348227647354e-18 -7.268931478059039e-18 -3.122417433231662e-02 1.302072355709992e-01
1.155769872558118e-01 5.526572159389142e-19 -2.259245665924908e-19 3.261630172932997e-18 -3.419833549860249e-18 -6.515758413507050e-02 6.561077284317371e-02
1.260839860972492e-01 4.585138727964084e-19 -1.044645171540247e-19 4.419947269828518e-18 -1.236608958508718e-19 -8.566742229502347e-02 9.194732546910609e-03
1.365909849386867e-01 3.547601606670043e-19 8.507453740636531e-21 4.801888219465497e-18 2.536305766526385e-18 -9.282894319853595e-02 -3.749029421459236e-02
1.470979837801241e-01 2.479333590095447e-19 1.045948110293776e-19 4.487869156147345e-18 4.517777197656651e-18 -8.773138448804747e-02 -7.348315091675368e-02
1.576049826215615e-01 1.444218011944507e-19 1.774446284507115e-19 3.607164328177450e-18 5.819982481994478e-18 -7.233450216728911e-02 -9.844481112495665e-02
1.681119814629990e-01 5.004483787732336e-20 2.231972644667338e-19 2.323234508646312e-18 6.481465421937640e-18 -4.925866251920380e-02 -1.126534066850721e-01
1.786189803044364e-01 -3.032341113416806e-20 2.406782543172237e-19 8.169097003474825e-19 6.575324693266828e-18 -2.152923381229600e-02 -1.169616095175894e-01
1.891259791458738e-01 -9.305821367858761e-20 2.313257695527310e-19 -7.308819164325651e-19 6.202260721847902e-18 7.700600736587457e-03 -1.127188956900163e-01
1.996329779873113e-01 -1.359927974084927e-19 1.988738121663797e-19 -2.155185801131463e-18 5.481958848418753e-18 3.542341497048834e-02 -1.016636773856944e-01
2.101399768287487e-01 -1.585148675462726e-19 1.488350106113782e-19 -3.320443244575167e-18 4.543467803482568e-18 5.902357324482069e-02 -8.579250020007315e-02
2.206469756701862e-01 -1.615433497612865e-19 8.784508435700387e-20 -4.130152313078256e-18 3.515312079407649e-18 7.647522753282497e-02 -6.721527858416375e-02
2.311539745116236e-01 -1.473874110519769e-19 2.294202828242826e-20 -4.532090101658737e-18 2.516097472425953e-18 8.647697459055396e-02 -4.800671168181257e-02
2.416609733530610e-01 -1.194997512207568e-19 -3.914403797271644e-20 -4.518899248039195e-18 1.646326833992847e-18 8.851428775270274e-02 -3.006445582439687e-02
2.521679721944984e-01 -8.214533121691772e-20 -9.261957770511355e-20 -4.124316243510014e-18 9.820395902122692e-19 8.284783499664936e-02 -1.498425502707558e-02
2.626749710359359e-01 -4.001420168383168e-20 -1.331164508818326e-19 -3.415738709799596e-18 5.707314346526954e-19 7.043269055971008e-02 -3.961040715017515e-03
2.731819698773733e-01 2.187872541773282e-21 -1.580002284769795e-19 -2.484152431285034e-18 4.298128136757473e-19 5.277959306507210e-02 2.276927112689122e-03
2.836889687188108e-01 4.013530056785458e-20 -1.664785940597803e-19 -1.432637663807612e-18 5.476438453170112e-19 3.177424404311262e-02 3.496355964546811e-03
2.941959675602482e-01 7.023069844152428e-20 -1.595125159566117e-19 -3.647339953194840e-19 8.869593818195906e-19 9.473766945776159e-03 -5.190300164906507e-05
3.047029664016856e-01 8.987529060053771e-20 -1.395534449153751e-19 6.261346362339865e-19 1.390292092099266e-18 -1.209937177514962e-02 -7.681222872134258e-03
3.152099652431231e-01 9.763936885695189e-20 -1.101466905699136e-19 1.465171969632396e-18 1.986833402124897e-18 -3.114647494447932e-02 -1.835050347123178e-02
3.257169640845605e-01 9.332013245698096e-20 -7.545271541340969e-20 2.101947127337894e-18 2.600058138647917e-18 -4.624787218448486e-02 -3.077113293639397e-02
3.362239629259979e-01 7.788508716269942e-20 -3.974338614724502e-20 2.512993717155630e-18 3.155389788547054e-18 -5.647154135012959e-02 -4.353027560164119e-02
3.467309617674353e-01 5.331016023271396e-20 -6.929013671529725e-21 2.701267836301249e-18 3.587203924609502e-18 -6.142744885417988e-02 -5.521989572738160e-02
3.572379606088728e-01 2.233166713858053e-20 1.983519599410702e-20 2.692798856458170e-18 3.844554989568764e-18 -6.126558754018541e-02 -6.456058869748157e-02
3.677449594503102e-01 -1.186078537136590e-20 3.842671645959524e-20 2.531142888416670e-18 3.895156811612292e-18 -5.662123478289845e-02 -7.050990950922144e-02
3.782519582917477e-01 -4.595827707764171e-20 4.789601813901355e-20 2.270438373207110e-18 3.727334545011079e-18 -4.851588275595657e-02 -7.234640996210574e-02
3.887589571331851e-01 -7.685951981903502e-20 4.846494892373302e-20 1.967951421843499e-18 3.349875473024863e-18 -3.822615559501211e-02 -6.972288270624151e-02
3.992659559746226e-01 -1.019586487595531e-19 4.139449214356943e-20 1.676982654342353e-18 2.789916365663685e-18 -2.713549730961104e-02 -6.268515089938673e-02
4.097729548160600e-01 -1.193668210323539e-19 2.874684560241021e-20 1.440896484850985e-18 2.089194124887810e-18 -1.658431413582216e-02 -5.165587206895255e-02
4.202799536574974e-01 -1.280483720959461e-19 1.307665581787198e-20 1.288847205526345e-18 1.299135097601914e-18 -7.733572344494560e-03 -3.738595159488835e-02
4.307869524989348e-01 -1.278618939342117e-19 -2.908473729769892e-21 1.233540200453126e-18 4.753521495163454e-19 -1.454730640798904e-03 -2.087899360913987e-02
4.412939513403723e-01 -1.195069652550336e-19 -1.667768802581233e-20 1.271111288109970e-18 -3.278509800103670e-19 1.744396165726798e-03 -3.296493203576433e-03
4.518009501818097e-01 -1.043872384153291e-19 -2.616049180545561e-20 1.382962724632538e-18 -1.062402686201193e-18 1.752308476752991e-03 1.414701279122860e-02
4.623079490232472e-01 -8.440908649084002e-20 -2.995595904455512e-20 1.539187573431009e-18 -1.690341481328456e-18 -1.156101230494824e-03 3.028899932904661e-02
4.728149478646846e-01 -6.174113446276555e-20 -2.744984231465968e-20 1.703065476146760e-18 -2.186316208814984e-18 -6.368901413871518e-03 4.411469002981260e-02
4.833219467061221e-01 -3.856312177916430e-20 -1.883369477985176e-20 1.836034669246630e-18 -2.538545085973757e-18 -1.301897474028371e-02 5.483515945561296e-02
4.938289455475595e-01 -1.683240099588259e-20 -5.031681234495551e-21 1.902540661671254e-18 -2.748249370016404e-18 -2.008855156613866e-02 6.194143733435912e-02
5.043359443889969e-01 1.906923401445297e-21 1.244924686931118e-20 1.874225833536236e-18 -2.827746123825863e-18 -2.652482941905226e-02 6.523075061862711e-02
5.148429432304343e-01 1.665320481380433e-20 3.172274333618601e-20 1.733043364116015e-18 -2.797524148440425e-18 -3.135454532145833e-02 6.480382691861838e-02
5.253499420718718e-01 2.700372360450894e-20 5.075282403738011e-20 1.473034983991789e-18 -2.682722958069311e-18 -3.378605447598879e-02 6.103497909268113e-02
5.358569409133092e-01 3.313620988820252e-20 6.758213744568657e-20 1.100683891763241e-18 -2.509477491738799e-18 -3.328925065665352e-02 5.451922124920371e-02
5.463639397547466e-01 3.572200706366688e-20 8.053352501170124e-20 6.339205175583465e-19 -2.301578279132178e-18 -2.964630847350181e-02 4.600268971656923e-02
5.568709385961841e-01 3.578514971265371e-20 8.836496976269316e-20 1.000008491571199e-19 -2.077831760661898e-18 -2.296943016340904e-02 3.630397403339679e-02
5.673779374376215e-01 3.452735231343455e-20 9.036519062688911e-20 -4.674195301765283e-19 -1.850398093822001e-18 -1.368519547466100e-02 2.623449232554759e-02
5.778849362790589e-01 3.314206067256988e-20 8.638512596995296e-20 -1.031636139266685e-18 -1.624248379912074e-18 -2.488395776338089e-03 1.652574598821770e-02
5.883919351204964e-01 3.264102171929954e-20 7.680833532873551e-20 -1.556284140491903e-18 -1.397736945281803e-18 9.728931982301197e-03 7.770218274951934e-03
5.988989339619338e-01 3.371433970820501e-20 6.247001589210988e-20 -2.008415498955671e-18 -1.164144936098450e-18 2.196542259731641e-02 3.809745291580061e-04
6.094059328033713e-01 3.664009668922930e-20 4.453917697800054e-20 -2.360989070792289e-18 -9.139354252183139e-19 3.320614037997026e-02 -5.427126642874084e-03
6.199129316448087e-01 4.125298407486494e-20 2.438112341167495e-20 -2.594594715107359e-18 -6.373805320764867e-19 4.251675058659614e-02 -9.634057970002398e-03
6.304199304862461e-01 4.697386819093098e-20 3.417663464143478e-21 -2.698338315564738e-18 -3.271859770445727e-19 4.912728549603685e-02 -1.239084630066844e-02
6.409269293276836e-01 5.289472298814875e-20 -1.699942287984895e-20 -2.669915484211436e-18 1.924933935208539e-20 5.249810618752278e-02 -1.397919549721638e-02
6.514339281691210e-01 5.790680027118439e-20 -3.568969340431643e-20 -2.514985844926123e-18 3.982448504353847e-19 5.236270929133788e-02 -1.475987471352449e-02
6.619409270105584e-01 6.085502387137908e-20 -5.171281150395108e-20 -2.246018681804259e-18 7.991349484140911e-19 4.874447014165167e-02 -1.511617998644326e-02
6.724479258519959e-01 6.069891425666402e-20 -6.440245915730236e-20 -1.880810073735386e-18 1.204549154777513e-18 4.194699177257880e-02 -1.539902312248310e-02
6.829549246934333e-01 5.666011658487770e-20 -7.336776424458177e-20 -1.440871436641584e-18 1.591649916334093e-18 3.252018803396837e-02 -1.587974968951738e-02
6.934619235348707e-01 4.833875815327397e-20 -7.846838875632029e-20 -9.498635958661743e-19 1.934184223715583e-18 2.120634164848216e-02 -1.671570802295368e-02
7.039689223763081e-01 3.578505600799122e-20 -7.977188867806769e-20 -4.322060741391807e-19 2.205107747001123e-18 8.871965530364272e-03 -1.793201656155765e-02
7.144759212177456e-01 1.951825512247416e-20 -7.750291272972273e-20 8.806303373498221e-20 2.379474012105870e-18 -3.567757998716636e-03 -1.942108739143161e-02
7.249829200591831e-01 4.913713210804671e-22 -7.199328264665903e-20 5.881562255923236e-19 2.437253081937340e-18 -1.522492679277356e-02 -2.095946625066068e-02
7.354899189006204e-01 -1.999344849971639e-20 -6.364021950796532e-20 1.047161788930323e-18 2.365756214813341e-18 -2.530863007500749e-02 -2.223965477882608e-02
7.459969177420579e-01 -4.040860306584692e-20 -5.287732946044615e-20 1.446485415386466e-18 2.161392145179019e-18 -3.318277997115024e-02 -2.291298370359948e-02
7.565039165834954e-01 -5.914929652064269e-20 -4.015990832304553e-20 1.770184393248470e-18 1.830559763117713e-18 -3.840785357547299e-02 -2.263846371862138e-02
7.670109154249328e-01 -7.468966488541649e-20 -2.596315657709391e-20 2.005268057810834e-18 1.389580617680363e-18 -4.076404599355270e-02 -2.113196045129632e-02
7.775179142663702e-01 -8.572981329001844e-20 -1.078945215528276e-20 2.142019666264229e-18 8.636805717342342e-19 -4.025514332153619e-02 -1.821006707271841e-02
7.880249131078076e-01 -9.131851668842331e-20 4.820761180881010e-21 2.174364873098763e-18 2.851305840521940e-19 -3.709415566364884e-02 -1.382366550298421e-02
7.985319119492451e-01 -9.093968710549122e-20 2.028046259019077e-20 2.100276575973897e-18 -3.092592369486567e-19 -3.167325001039246e-02 -8.077298154703559e-03
8.090389107906826e-01 -8.455521462710128e-20 3.495540113026659e-20 1.922171667914821e-18 -8.810391206907088e-19 -2.452167186384028e-02 -1.231990302381913e-03
8.195459096321199e-01 -7.260184817894140e-20 4.817533958270796e-20 1.647228286965342e-18 -1.393130722895813e-18 -1.625606716465770e-02 6.309093493970269e-03
8.300529084735574e-01 -5.594476610523311e-20 5.925911782296212e-20 1.287537277840769e-18 -1.812670672487488e-18 -7.527883740723031e-03 1.403098717801251e-02
8.405599073149949e-01 -3.579481643263206e-20 6.755300922946763e-20 8.600015812859702e-19 -2.113439237431226e-18 1.027638681853767e-03 2.135043028343963e-02
8.510669061564322e-01 -1.359962360973769e-20 7.247943195141929e-20 3.859126659948812e-19 -2.277681798414009e-18 8.836931774889516e-03 2.766836357057519e-02
8.615739049978697e-01 9.079425513330591e-21 7.359105157372426e-20 -1.098378386000936e-19 -2.297201007584721e-18 1.542490094535682e-02 3.242630305398832e-02
8.720809038393071e-01 3.069198009872942e-20 7.062395329593734e-20 -5.999141624011407e-19 -2.173673688623916e-18 2.044098234496201e-02 3.516106367397095e-02
8.825879026807446e-01 4.981403729836914e-20 6.354304839743323e-20 -1.056019058281282e-18 -1.918219675998149e-18 2.367347243015610e-02 3.555242907511572e-02
8.930949015221820e-01 6.524468125899724e-20 5.257326953069106e-20 -1.450619070215255e-18 -1.550312147068586e-18 2.505221399321815e-02 3.345901291989919e-02
9.036019003636194e-01 7.607807652380503e-20 3.821133965045183e-20 -1.758791741042667e-18 -1.096164987477127e-18 2.464065922382024e-02 2.893866032747604e-02
9.141088992050569e-01 8.174774039869707e-20 2.121480252227790e-20 -1.960048591453911e-18 -5.867594554554110e-19 2.261906739949497e-02 2.225118435924677e-02
9.246158980464944e-01 8.204316153171217e-20 2.567334509814153e-21 -2.039976624229443e-18 -5.567978779961815e-20 1.926108956574945e-02 1.384288109127576e-02
9.351228968879317e-01 7.710135129034303e-20 -1.657816680316844e-20 -1.991545999557949e-18 4.630821489855475e-19 1.490623110028120e-02 4.313960940115109e-03
9.456298957293692e-01 6.737765754603506e-20 -3.497488798070523e-20 -1.815952070331399e-18 9.372151892710589e-19 9.930678210033831e-03 -5.628384220957868e-03
9.561368945708066e-01 5.360102746806396e-20 -5.137003119859487e-20 -1.522894118261885e-18 1.337961563251744e-18 4.718761297338979e-03 -1.522723329062748e-02
9.666438934122441e-01 3.671891497091391e-20 -6.459825153269087e-20 -1.130237461597446e-18 1.641696454865276e-18 -3.630422946313110e-04 -2.373851193520012e-02
9.771508922536815e-01 1.783635761160816e-20 -7.367282698963950e-20 -6.630557662435937e-19 1.831165117256221e-18 -4.988132008326094e-03 -3.049340258606921e-02
9.876578910951189e-01 -1.847341819617813e-21 -7.786686497812521e-20 -1.521016551707063e-19 1.896350314933023e-18 -8.886906118797182e-03 -3.495510036754847e-02
9.981648899365564e-01 -2.110209738372800e-20 -7.677760829560255e-20 3.681985150953954e-19 1.834957496339349e-18 -1.185854310581703e-02 -3.676491882207666e-02
1.008671888777994e+00 -3.872947826642889e-20 -7.036823681188832e-20 8.620895690357209e-19 1.652512919828633e-18 -1.377743231363802e-02 -3.577368243420179e-02
1.019178887619431e+00 -5.362350900983514e-20 -5.898331778614346e-20 1.295006317555024e-18 1.362073245568562e-18 -1.459458376926993e-02 -3.205563012495580e-02
1.029685886460869e+00 -6.482931011157596e-20 -4.333606928993896e-20 1.636083452620015e-18 9.835472403820636e-19 -1.433458480776655e-02 -2.590357825535220e-02
1.040192885302306e+00 -7.159858342176955e-20 -2.446770021271344e-20 1.860470321650752e-18 5.426349227341380e-19 -1.308880867643280e-02 -1.780571746851870e-02
1.050699884143744e+00 -7.344004514029845e-20 -3.681126725975058e-21 1.951274471282779e-18 6.939990170739752e-20 -1.100563180487725e-02 -8.406002282891897e-03
1.061206882985181e+00 -7.016180388852087e-20 1.754678489567372e-20 1.900980504159411e-18 -4.034912134981397e-19 -8.278404648413193e-03 1.548501399887999e-03
1.071713881826618e+00 -6.190166315241419e-20 3.766873055788492e-20 1.712224374379021e-18 -8.428024873890784e-19 -5.131872519695292e-03 1.126883778283207e-02
1.082220880668056e+00 -4.914070356142876e-20 5.517929935422552e-20 1.397845636171111e-18 -1.216943646679102e-18 -1.807683403148140e-03 1.998876188494953e-02
1.092727879509493e+00 -3.269553924652620e-20 6.872837032466516e-20 9.801888845676693e-19 -1.498240569833733e-18 1.450429718751273e-03 2.702726261337562e-02
1.103234878350931e+00 -1.368552181758713e-20 7.722744543296877e-20 4.896779561795719e-19 -1.665104600982127e-18 4.411231071459672e-03 3.184375313419838e-02
1.113741877192368e+00 6.527066541230923e-21 7.994088525255220e-20 -3.726054812232535e-20 -1.703922348783580e-18 6.869768183178835e-03 3.408132325960481e-02
1.124248876033806e+00 2.642323513296261e-20 7.655460992125810e-20 -5.607973256646230e-19 -1.610480947530641e-18 8.659781526449188e-03 3.359448740835288e-02
1.134755874875243e+00 4.443623677040008e-20 6.721594259168097e-20 -1.040652136808293e-18 -1.390756585876550e-18 9.664132044687940e-03 3.045919801170847e-02
1.145262873716681e+00 5.907631413863819e-20 5.253990653602685e-20 -1.439189693268380e-18 -1.060928824410738e-18 9.822629730728184e-03 2.496441179483895e-02
1.155769872558118e+00 6.906134484767347e-20 3.357941075673352e-20 -1.724428762848467e-18 -6.465393847760348e-19 9.136670912309899e-03 1.758606429363653e-02
1.166276871399555e+00 7.344128698408636e-20 1.175929978999627e-20 -1.872725581213054e-18 -1.807881406410000e-19 7.670171295394906e-03 8.945791936670755e-03
1.176783870240993e+00 7.170329665221323e-20 -1.122292488680416e-20 -1.870902307030746e-18 2.979555664129915e-19 5.546429295049986e-03 -2.419853441193324e-04
1.187290869082430e+00 6.384482771428122e-20 -3.352396589964694e-20 -1.717619866252293e-18 7.492603654349894e-19 2.940773769337711e-03 -9.230052416889756e-03
1.197797867923868e+00 5.040405739359624e-20 -5.330061979368606e-20 -1.423842040801589e-18 1.134113288066759e-18 6.913492989380849e-05 -1.730033196845866e-02
1.208304866765305e+00 3.244053139871498e-20 -6.886374113129305e-20 -1.012302313514355e-18 1.418466072024823e-18 -2.826991579387079e-03 -2.382252170607370e-02
1.218811865606743e+00 1.146370017452755e-20 -7.882762211001622e-20 -5.159631640659992e-19 1.576506625270174e-18 -5.498368479654865e-03 -2.830453116723620e-02
1.229318864448180e+00 -1.068745300855822e-20 -8.224139066511210e-20 2.445625211246691e-20 1.593315851540747e-18 -7.707479266724374e-03 -3.043056786952279e-02
1.239825863289617e+00 -3.200482690733720e-20 -7.868946902853886e-20 5.637208872958396e-19 1.466608520187566e-18 -9.248208348185535e-03 -3.008382713269376e-02
1.250332862131055e+00 -5.049767845328675e-20 -6.834986642636242e-20 1.055845844175911e-18 1.207331637897655e-18 -9.964143959112022e-03 -2.735209655990564e-02
1.260839860972492e+00 -6.438727682760026e-20 -5.200209229534677e-20 1.458080114230544e-18 8.389990489082625e-19 -9.763865060978217e-03 -2.251607503314494e-02
1.271346859813930e+00 -7.228972744371368e-20 -3.098061192255958e-20 1.734759738597287e-18 3.957668384035246e-19 -8.631681545895239e-03 -1.602169622330371e-02
1.281853858655367e+00 -7.336698962107184e-20 -7.074717473581490e-21 1.860671491832529e-18 -8.061253664027664e-20 -6.632564223812054e-03 -8.439107531407870e-03
1.292360857496805e+00 -6.742843718955231e-20 1.761898569148923e-20 1.823591612574658e-18 -5.446934397061232e-19 -3.910417366626760e-03 -4.120685314844639e-04
1.302867856338242e+00 -5.496979426879659e-20 4.088011036905297e-20 1.625722321143271e-18 -9.517297795357015e-19 -6.793846819276836e-04 7.397697649367973e-03
1.313374855179679e+00 -3.714251197346893e-20 6.056824019494421e-20 1.283838927548544e-18 -1.262120902634223e-18 2.791503760905073e-03 1.436630595103889e-02
1.323881854021117e+00 -1.565399470414237e-20 7.482797089788799e-20 8.280755435593825e-19 -1.445450605492485e-18 6.199396612878973e-03 1.995884610430930e-02
1.334388852862554e+00 7.393269987903394e-21 8.227492581539600e-20 2.994076928770510e-19 -1.483685258398912e-18 9.232851883389907e-03 2.377153817804627e-02
1.344895851703992e+00 2.970855716481743e-20 8.214310808509410e-20 -2.539771589947587e-19 -1.373172031085376e-18 1.159919129181721e-02 2.556146805980836e-02
1.355402850545429e+00 4.904496676781717e-20 7.437677960355351e-20 -7.811089083980961e-19 -1.125195654130759e-18 1.305160311483158e-02 2.526163372263327e-02
