frequency = 899377375.7428404 Hz; phi = 1.5707963267948966 rad
theta(rad) Re(E_r) Im(E_r) Re(E_theta) Im(E_theta) Re(E_phi) Im(E_phi)
0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 -2.683891892923520e-02 -8.183845817417124e-02 0.000000000000000e+00 0.000000000000000e+00
1.050699884143744e-02 2.084159483685108e-21 3.035557354310207e-22 -1.642734316805847e-18 -5.004004140403465e-18 2.677161175190422e-02 8.170812643998954e-02
2.101399768287487e-02 4.157184860409656e-21 6.024166453627435e-22 -1.640703233287982e-18 -4.982572815668308e-18 2.657034606262548e-02 8.131784100406571e-02
3.152099652431230e-02 6.208021196523644e-21 8.919479056452589e-22 -1.637302834996278e-18 -4.946977455277657e-18 2.623708201483654e-02 8.066972628628050e-02
4.202799536574974e-02 8.225771202137033e-21 1.167633871767314e-21 -1.632510608499828e-18 -4.897402430572752e-18 2.577506203638353e-02 7.976730675970634e-02
5.253499420718718e-02 1.019977230330117e-20 1.425135623258492e-21 -1.626295778789701e-18 -4.834104069677427e-18 2.518877439237292e-02 7.861548275024648e-02
6.304199304862461e-02 1.211967163520328e-20 1.660346087498908e-21 -1.618620037740694e-18 -4.757408884475068e-18 2.448390277918448e-02 7.722049683407420e-02
7.354899189006205e-02 1.397549829757743e-20 1.869441992011664e-21 -1.609438459090433e-18 -4.667711317546748e-18 2.366726254664665e-02 7.558989110769386e-02
8.405599073149948e-02 1.575773224235117e-20 2.048931941248255e-21 -1.598700584208705e-18 -4.565471028598780e-18 2.274672430319196e-02 7.373245567952305e-02
9.456298957293692e-02 1.745736919882094e-20 2.195699970917138e-21 -1.586351660002384e-18 -4.451209743823580e-18 2.173112580793838e-02 7.165816880253661e-02
1.050699884143744e-01 1.906598108308270e-20 2.307043999475719e-21 -1.572334007659136e-18 -4.325507695317933e-18 2.063017319129749e-02 6.937812913431247e-02
1.155769872558118e-01 2.057577138567346e-20 2.380708671612531e-21 -1.556588498621856e-18 -4.188999681092536e-18 1.945433267027050e-02 6.690448067315873e-02
1.260839860972492e-01 2.197962508328002e-20 2.414912170303974e-21 -1.539056112351141e-18 -4.042370779274727e-18 1.821471403627798e-02 6.425033097580668e-02
1.365909849386867e-01 2.327115267728768e-20 2.408366662677018e-21 -1.519679548905805e-18 -3.886351752870683e-18 1.692294728758887e-02 6.142966331384205e-02
1.470979837801241e-01 2.444472802199884e-20 2.360292137032069e-21 -1.498404868418925e-18 -3.721714183803995e-18 1.559105385796421e-02 5.845724347103511e-02
1.576049826215615e-01 2.549551966919289e-20 2.270423484813153e-21 -1.475183128936575e-18 -3.549265376950118e-18 1.423131395305360e-02 5.534852192275942e-02
1.681119814629990e-01 2.641951552114447e-20 2.139010778215379e-21 -1.449971994066817e-18 -3.369843076438371e-18 1.285613154951004e-02 5.211953217038476e-02
1.786189803044364e-01 2.721354065193176e-20 1.966812792284458e-21 -1.422737282241234e-18 -3.184310037659355e-18 1.147789863475522e-02 4.878678602854363e-02
1.891259791458738e-01 2.787526822480697e-20 1.755083916307855e-21 -1.393454430292329e-18 -2.993548499124943e-18 1.010886027043454e-02 4.536716668062023e-02
1.996329779873113e-01 2.840322350187776e-20 1.505554693266620e-21 -1.362109845343835e-18 -2.798454598627316e-18 8.760982047628502e-03 4.187782032809335e-02
2.101399768287487e-01 2.879678100935470e-20 1.220406314651846e-21 -1.328702120808385e-18 -2.599932777982444e-18 7.445821469135914e-03 3.833604726200780e-02
2.206469756701862e-01 2.905615498830367e-20 9.022394831627797e-22 -1.293243094374194e-18 -2.398890220108916e-18 6.174404741236845e-03 3.475919318050338e-02
2.311539745116236e-01 2.918238332363454e-20 5.540381309325533e-22 -1.255758728468511e-18 -2.196231361174941e-18 4.957110388994919e-03 3.116454156422694e-02
2.416609733530610e-01 2.917730520575356e-20 1.791285520298377e-22 -1.216289796450124e-18 -1.992852519211338e-18 3.803561021453170e-03 2.756920790285147e-02
2.521679721944984e-01 2.904353283575284e-20 -2.188654334738586e-22 -1.174892360968559e-18 -1.789636678806221e-18 2.722524471780918e-03 2.399003654007265e-02
2.626749710359359e-01 2.878441753847984e-20 -6.360706150688256e-22 -1.131638034236111e-18 -1.587448469413655e-18 1.721825420162508e-03 2.044350087244965e-02
2.731819698773733e-01 2.840401069593621e-20 -1.068415118550791e-21 -1.086614013489512e-18 -1.387129372374575e-18 8.082684777634665e-04 1.694560759921633e-02
2.836889687188108e-01 2.790701995642330e-20 -1.511680986673437e-21 -1.039922888548525e-18 -1.189493189024897e-18 -1.242643087782038e-05 1.351180567637659e-02
2.941959675602482e-01 2.729876121253362e-20 -1.961557858100719e-21 -9.916822220446166e-19 -9.953217992949985e-19 -7.356757004540287e-04 1.015690057946806e-02
3.047029664016856e-01 2.658510687231164e-20 -2.413696983391042e-21 -9.420239065757915e-19 -8.053612369920192e-19 -1.358070164029348e-03 6.894974425820238e-03
