frequency = 599584917.1618936 Hz; phi = 1.5707963267948966 rad
theta(rad) Re(E_r) Im(E_r) Re(E_theta) Im(E_theta) Re(E_phi) Im(E_phi)
0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 -1.249776219876726e-02 -4.145755130684726e-02 0.000000000000000e+00 0.000000000000000e+00
1.050699884143744e-02 5.593138413865315e-22 4.512373710251981e-23 -7.650742291446536e-19 -2.536601883799402e-18 1.248275332579221e-02 4.142048175016011e-02
2.101399768287487e-02 1.117127674803043e-21 8.988373545265239e-23 -7.644954323123554e-19 -2.530783946824146e-18 1.243782499186205e-02 4.130938284843094e-02
3.152099652431230e-02 1.671946283219166e-21 1.339177856373991e-22 -7.635313911491758e-19 -2.521104162291407e-18 1.236327125350373e-02 4.112458349723429e-02
4.202799536574974e-02 2.222284014266393e-21 1.768667307812419e-22 -7.621830284163835e-19 -2.507587640351146e-18 1.225957955002238e-02 4.086663049305824e-02
5.253499420718718e-02 2.766669519599731e-21 2.183759774975799e-22 -7.604516209106090e-19 -2.490269424441554e-18 1.212742674484838e-02 4.053628649569709e-02
6.304199304862461e-02 3.303650442892090e-21 2.580969885602518e-22 -7.583387845809404e-19 -2.469194380998359e-18 1.196767363057982e-02 4.013452718877427e-02
7.354899189006205e-02 3.831798039627698e-21 2.956887513538463e-22 -7.558464556621123e-19 -2.444417058336279e-18 1.178135794446400e-02 3.966253765145374e-02
8.405599073149948e-02 4.349711712263317e-21 3.308192163411827e-22 -7.529768680118328e-19 -2.416001515214735e-18 1.156968595351021e-02 3.912170795806313e-02
9.456298957293692e-02 4.856023444449708e-21 3.631666998896288e-22 -7.497325269006365e-19 -2.384021119703006e-18 1.133402268088036e-02 3.851362802577239e-02
1.050699884143744e-01 5.349402118667864e-21 3.924212460663167e-22 -7.461161795242295e-19 -2.348558319071672e-18 1.107588085643697e-02 3.784008173395240e-02
1.155769872558118e-01 5.828557701820421e-21 4.182859421971201e-22 -7.421307825498231e-19 -2.309704381539078e-18 1.079690868520465e-02 3.710304034207537e-02
1.260839860972492e-01 6.292245284216515e-21 4.404781832643798e-22 -7.377794670541754e-19 -2.267559110798216e-18 1.049887653768267e-02 3.630465523608115e-02
1.365909849386867e-01 6.739268957561660e-21 4.587308804797629e-22 -7.330655012251826e-19 -2.222230534350914e-18 1.018366267475461e-02 3.544725003615501e-02
1.470979837801241e-01 7.168485518538014e-21 4.727936096806377e-22 -7.279922512437863e-19 -2.173834566763661e-18 9.853238128322103e-03 3.453331210155034e-02
1.576049826215615e-01 7.578807985094441e-21 4.824336955093350e-22 -7.225631407821365e-19 -2.122494649048526e-18 9.509650865761039e-03 3.356548347067213e-02
1.681119814629990e-01 7.969208913354406e-21 4.874372276685033e-22 -7.167816095799066e-19 -2.068341365454788e-18 9.155009372331560e-03 3.254655127697618e-02
1.786189803044364e-01 8.338723503861409e-21 4.876100058881573e-22 -7.106510715785824e-19 -2.011512039034084e-18 8.791465790477949e-03 3.147943768335368e-02
1.891259791458738e-01 8.686452486636090e-21 4.827784105956621e-22 -7.041748731165977e-19 -1.952150307411576e-18 8.421198758705617e-03 3.036718937952894e-02
1.996329779873113e-01 9.011564775532926e-21 4.727901966240757e-22 -6.973562516880964e-19 -1.890405680265380e-18 8.046396094942090e-03 2.921296668868410e-02
2.101399768287487e-01 9.313299883217271e-21 4.575152077006788e-22 -6.901982957901893e-19 -1.826433080071810e-18 7.669237470677771e-03 2.802003233085202e-02
2.206469756701862e-01 9.590970088829123e-21 4.368460097005107e-22 -6.827039063838901e-19 -1.760392367728452e-18 7.291877222034400e-03 2.679173989176271e-02
