freq(Hz)	1.00e+09	eps_r	4	mu_r	1	sigma	0.00e+00
theta(rad)	RCS(m^2)
3.141592654e+00	7.920332697e+00
3.173325913e+00	7.796981804e+00
3.205059172e+00	7.434981645e+00
3.236792431e+00	6.858160690e+00
3.268525690e+00	6.105105274e+00
3.300258949e+00	5.227282978e+00
3.331992208e+00	4.285886663e+00
3.363725467e+00	3.346827397e+00
3.395458727e+00	2.473598595e+00
3.427191986e+00	1.718644970e+00
3.458925245e+00	1.115128543e+00
3.490658504e+00	6.718828776e-01
3.522391763e+00	3.740966853e-01
3.554125022e+00	1.905350465e-01
3.585858281e+00	8.539214398e-02
3.617591540e+00	3.043179771e-02
3.649324800e+00	1.233570229e-02
3.681058059e+00	3.190613753e-02
3.712791318e+00	9.546932128e-02
3.744524577e+00	2.028103158e-01
3.776257836e+00	3.381322628e-01
3.807991095e+00	4.694821014e-01
3.839724354e+00	5.580317517e-01
3.871457614e+00	5.734312906e-01
3.903190873e+00	5.078448496e-01
3.934924132e+00	3.813141138e-01
3.966657391e+00	2.350254473e-01
3.998390650e+00	1.150382932e-01
4.030123909e+00	5.398190568e-02
4.061857168e+00	5.944505151e-02
4.093590427e+00	1.144625490e-01
4.125323687e+00	1.892743237e-01
4.157056946e+00	2.576817989e-01
4.188790205e+00	3.090478637e-01
4.220523464e+00	3.496111383e-01
4.252256723e+00	3.929665644e-01
4.283989982e+00	4.459255021e-01
4.315723241e+00	4.989077517e-01
4.347456500e+00	5.277136829e-01
4.379189760e+00	5.070309087e-01
4.410923019e+00	4.288178382e-01
4.442656278e+00	3.148470184e-01
4.474389537e+00	2.146293058e-01
4.506122796e+00	1.870646307e-01
4.537856055e+00	2.729829596e-01
4.569589314e+00	4.716113079e-01
4.601322573e+00	7.335656218e-01
4.633055833e+00	9.759688203e-01
4.664789092e+00	1.114871168e+00
4.696522351e+00	1.101340147e+00
4.728255610e+00	9.448552443e-01
4.759988869e+00	7.126103541e-01
4.791722128e+00	5.038982595e-01
4.823455387e+00	4.100696003e-01
4.855188646e+00	4.773152730e-01
4.886921906e+00	6.885008934e-01
4.918655165e+00	9.718930605e-01
4.950388424e+00	1.232690582e+00
4.982121683e+00	1.393251513e+00
5.013854942e+00	1.424307174e+00
5.045588201e+00	1.353815317e+00
5.077321460e+00	1.250342909e+00
5.109054719e+00	1.189301186e+00
5.140787979e+00	1.217859580e+00
5.172521238e+00	1.334666926e+00
5.204254497e+00	1.493575759e+00
5.235987756e+00	1.629537996e+00
5.267721015e+00	1.694594593e+00
5.299454274e+00	1.686909149e+00
5.331187533e+00	1.658313862e+00
5.362920792e+00	1.694900603e+00
5.394654052e+00	1.877110600e+00
5.426387311e+00	2.235618384e+00
5.458120570e+00	2.722846100e+00
5.489853829e+00	3.215333792e+00
5.521587088e+00	3.550724955e+00
5.553320347e+00	3.588865334e+00
5.585053606e+00	3.274896043e+00
5.616786866e+00	2.678135870e+00
5.648520125e+00	1.986483716e+00
5.680253384e+00	1.450998006e+00
5.711986643e+00	1.294679364e+00
5.743719902e+00	1.616487923e+00
5.775453161e+00	2.329397324e+00
5.807186420e+00	3.165395328e+00
5.838919679e+00	3.760763635e+00
5.870652939e+00	3.806738996e+00
5.902386198e+00	3.222763813e+00
5.934119457e+00	2.292227600e+00
5.965852716e+00	1.701849514e+00
5.997585975e+00	2.448139700e+00
6.029319234e+00	5.613062949e+00
6.061052493e+00	1.205508000e+01
6.092785752e+00	2.209686240e+01
6.124519012e+00	3.530425370e+01
6.156252271e+00	5.043559901e+01
6.187985530e+00	6.559848996e+01
6.219718789e+00	7.859341477e+01
6.251452048e+00	8.736785407e+01
6.283185307e+00	9.046769639e+01
