freq(Hz)	1.50e+09	eps_r	4	mu_r	1	sigma	0.00e+00
theta(rad)	RCS(m^2)
0.000000000e+00	2.974340978e+02
1.050699884e-02	2.946310223e+02
2.101399768e-02	2.863549988e+02
3.152099652e-02	2.729966339e+02
4.202799537e-02	2.551776765e+02
5.253499421e-02	2.337096574e+02
6.304199305e-02	2.095408076e+02
7.354899189e-02	1.836955312e+02
8.405599073e-02	1.572112130e+02
9.456298957e-02	1.310772138e+02
1.050699884e-01	1.061805411e+02
1.155769873e-01	8.326194417e+01
1.260839861e-01	6.288513018e+01
1.365909849e-01	4.542056353e+01
1.470979838e-01	3.104400477e+01
1.576049826e-01	1.974870155e+01
1.681119815e-01	1.136907544e+01
1.786189803e-01	5.612946975e+00
1.891259791e-01	2.098868490e+00
1.996329780e-01	3.950129141e-01
2.101399768e-01	5.628463551e-02
2.206469757e-01	6.568284080e-01
2.311539745e-01	1.815840703e+00
2.416609734e-01	3.215443719e+00
2.521679722e-01	4.610268111e+00
2.626749710e-01	5.829213365e+00
2.731819699e-01	6.770535976e+00
2.836889687e-01	7.391898462e+00
2.941959676e-01	7.697266450e+00
3.047029664e-01	7.722564297e+00
3.152099652e-01	7.521815241e+00
3.257169641e-01	7.155144541e+00
3.362239629e-01	6.679571821e+00
3.467309618e-01	6.143026753e+00
3.572379606e-01	5.581552664e+00
3.677449595e-01	5.019269067e+00
3.782519583e-01	4.470384771e+00
3.887589571e-01	3.942408446e+00
3.992659560e-01	3.439694506e+00
4.097729548e-01	2.966572991e+00
4.202799537e-01	2.529512998e+00
4.307869525e-01	2.138021875e+00
4.412939513e-01	1.804245757e+00
4.518009502e-01	1.541472722e+00
4.623079490e-01	1.361917199e+00
4.728149479e-01	1.274263588e+00
4.833219467e-01	1.281461332e+00
4.938289455e-01	1.379198483e+00
5.043359444e-01	1.555352460e+00
5.148429432e-01	1.790549087e+00
5.253499421e-01	2.059781755e+00
5.358569409e-01	2.334878899e+00
5.463639398e-01	2.587482932e+00
5.568709386e-01	2.792133299e+00
5.673779374e-01	2.929037538e+00
5.778849363e-01	2.986165139e+00
5.883919351e-01	2.960399235e+00
5.988989340e-01	2.857614177e+00
6.094059328e-01	2.691692636e+00
6.199129316e-01	2.482633419e+00
6.304199305e-01	2.254012378e+00
6.409269293e-01	2.030130065e+00
6.514339282e-01	1.833203984e+00
6.619409270e-01	1.680939923e+00
6.724479259e-01	1.584752106e+00
6.829549247e-01	1.548806890e+00
6.934619235e-01	1.569953955e+00
7.039689224e-01	1.638497895e+00
7.144759212e-01	1.739666027e+00
7.249829201e-01	1.855556470e+00
7.354899189e-01	1.967311071e+00
7.459969177e-01	2.057252559e+00
7.565039166e-01	2.110751941e+00
7.670109154e-01	2.117643903e+00
7.775179143e-01	2.073075814e+00
7.880249131e-01	1.977749528e+00
7.985319119e-01	1.837584855e+00
8.090389108e-01	1.662891223e+00
8.195459096e-01	1.467174447e+00
8.300529085e-01	1.265726380e+00
8.405599073e-01	1.074147286e+00
8.510669062e-01	9.069372107e-01
8.615739050e-01	7.762681994e-01
8.720809038e-01	6.910190120e-01
8.825879027e-01	6.561231038e-01
8.930949015e-01	6.722525132e-01
9.036019004e-01	7.358371773e-01
9.141088992e-01	8.394014260e-01
9.246158980e-01	9.721860717e-01
9.351228969e-01	1.121013830e+00
9.456298957e-01	1.271345878e+00
9.561368946e-01	1.408466790e+00
9.666438934e-01	1.518723561e+00
9.771508923e-01	1.590732904e+00
9.876578911e-01	1.616461637e+00
9.981648899e-01	1.592080857e+00
1.008671889e+00	1.518498810e+00
1.019178888e+00	1.401492673e+00
1.029685886e+00	1.251387004e+00
1.040192885e+00	1.082265900e+00
1.050699884e+00	9.107538975e-01
1.061206883e+00	7.544526053e-01
1.071713882e+00	6.301692753e-01
1.082220881e+00	5.521127793e-01
1.092727880e+00	5.302548598e-01
1.103234878e+00	5.690546270e-01
1.113741877e+00	6.667192907e-01
1.124248876e+00	8.151245137e-01
1.134755875e+00	1.000447656e+00
1.145262874e+00	1.204483984e+00
1.155769873e+00	1.406529660e+00
1.166276871e+00	1.585637410e+00
1.176783870e+00	1.722992214e+00
1.187290869e+00	1.804124687e+00
1.197797868e+00	1.820684774e+00
1.208304867e+00	1.771539771e+00
1.218811866e+00	1.663035080e+00
1.229318864e+00	1.508355442e+00
1.239825863e+00	1.326036677e+00
1.250332862e+00	1.137788857e+00
1.260839861e+00	9.658862162e-01
1.271346860e+00	8.304437176e-01
1.281853859e+00	7.469249390e-01
1.292360857e+00	7.242059072e-01
1.302867856e+00	7.634557304e-01
1.313374855e+00	8.579943085e-01
1.323881854e+00	9.941624236e-01
1.334388853e+00	1.153106238e+00
1.344895852e+00	1.313254485e+00
1.355402851e+00	1.453169520e+00
1.365909849e+00	1.554396946e+00
1.376416848e+00	1.603931487e+00
1.386923847e+00	1.595961531e+00
1.397430846e+00	1.532646506e+00
1.407937845e+00	1.423808530e+00
1.418444844e+00	1.285566114e+00
1.428951842e+00	1.138083375e+00
1.439458841e+00	1.002733081e+00
1.449965840e+00	8.990584138e-01
1.460472839e+00	8.419534574e-01
1.470979838e+00	8.394603427e-01
1.481486837e+00	8.915032521e-01
1.491993835e+00	9.897556693e-01
1.502500834e+00	1.118683450e+00
1.513007833e+00	1.257643090e+00
1.523514832e+00	1.383764391e+00
1.534021831e+00	1.475230722e+00
1.544528830e+00	1.514505020e+00
1.555035829e+00	1.491045898e+00
1.565542827e+00	1.403117531e+00
1.576049826e+00	1.258412733e+00
1.586556825e+00	1.073366106e+00
1.597063824e+00	8.712125037e-01
1.607570823e+00	6.790213157e-01
1.618077822e+00	5.240848583e-01
1.628584820e+00	4.301386844e-01
1.639091819e+00	4.139279716e-01
1.649598818e+00	4.826010146e-01
1.660105817e+00	6.323111738e-01
1.670612816e+00	8.482545819e-01
1.681119815e+00	1.106182319e+00
1.691626813e+00	1.375227552e+00
1.702133812e+00	1.621707024e+00
1.712640811e+00	1.813417123e+00
1.723147810e+00	1.923867226e+00
1.733654809e+00	1.935888693e+00
1.744161808e+00	1.844128618e+00
1.754668807e+00	1.656075177e+00
1.765175805e+00	1.391448488e+00
1.775682804e+00	1.080003365e+00
1.786189803e+00	7.579998075e-01
1.796696802e+00	4.637758659e-01
1.807203801e+00	2.329811526e-01
1.817710800e+00	9.408084146e-02
1.828217798e+00	6.471176528e-02
1.838724797e+00	1.493672329e-01
1.849231796e+00	3.387186767e-01
1.859738795e+00	6.106720844e-01
1.870245794e+00	9.330329155e-01
1.880752793e+00	1.267444452e+00
1.891259791e+00	1.574098966e+00
1.901766790e+00	1.816620703e+00
1.912273789e+00	1.966497920e+00
1.922780788e+00	2.006500939e+00
1.933287787e+00	1.932656568e+00
1.943794786e+00	1.754538435e+00
1.954301785e+00	1.493852714e+00
1.964808783e+00	1.181520047e+00
1.975315782e+00	8.536479501e-01
1.985822781e+00	5.469279965e-01
1.996329780e+00	2.940604377e-01
2.006836779e+00	1.197970236e-01
2.017343778e+00	3.810287985e-02
2.027850776e+00	5.078311233e-02
2.038357775e+00	1.477207223e-01
2.048864774e+00	3.086565696e-01
2.059371773e+00	5.062386998e-01
2.069878772e+00	7.099045806e-01
2.080385771e+00	8.900572746e-01
2.090892769e+00	1.021968406e+00
2.101399768e+00	1.088889773e+00
2.111906767e+00	1.083973954e+00
2.122413766e+00	1.010775083e+00
2.132920765e+00	8.823001673e-01
2.143427764e+00	7.187810437e-01
2.153934762e+00	5.445100219e-01
2.164441761e+00	3.842048945e-01
2.174948760e+00	2.594250690e-01
2.185455759e+00	1.855432706e-01
2.195962758e+00	1.696899014e-01
2.206469757e+00	2.099428010e-01
2.216976756e+00	2.958546647e-01
2.227483754e+00	4.102193761e-01
2.237990753e+00	5.318038691e-01
2.248497752e+00	6.386381344e-01
2.259004751e+00	7.113810323e-01
2.269511750e+00	7.362736096e-01
2.280018749e+00	7.072548427e-01
2.290525747e+00	6.269376397e-01
2.301032746e+00	5.063077082e-01
2.311539745e+00	3.631910022e-01
2.322046744e+00	2.197109218e-01
2.332553743e+00	9.909959621e-02
2.343060742e+00	2.231842557e-02
2.353567740e+00	4.969127157e-03
2.364074739e+00	5.493451895e-02
2.374581738e+00	1.710844856e-01
2.385088737e+00	3.432319606e-01
2.395595736e+00	5.533477677e-01
2.406102735e+00	7.778666891e-01
2.416609734e+00	9.907649599e-01
2.427116732e+00	1.166982783e+00
2.437623731e+00	1.285719109e+00
2.448130730e+00	1.333145979e+00
2.458637729e+00	1.304172954e+00
2.469144728e+00	1.203026486e+00
2.479651727e+00	1.042575260e+00
2.490158725e+00	8.425071017e-01
2.500665724e+00	6.266213627e-01
2.511172723e+00	4.196206546e-01
2.521679722e+00	2.438509172e-01
2.532186721e+00	1.164402944e-01
2.542693720e+00	4.722554076e-02
2.553200718e+00	3.773891721e-02
2.563707717e+00	8.137559547e-02
2.574214716e+00	1.646934060e-01
2.584721715e+00	2.696372969e-01
2.595228714e+00	3.763526473e-01
2.605735713e+00	4.661725502e-01
2.616242712e+00	5.243451798e-01
2.626749710e+00	5.421106162e-01
2.637256709e+00	5.178353789e-01
2.647763708e+00	4.570528822e-01
2.658270707e+00	3.714187813e-01
2.668777706e+00	2.767485575e-01
2.679284705e+00	1.904379783e-01
2.689791703e+00	1.286562451e-01
2.700298702e+00	1.037340365e-01
2.710805701e+00	1.221397825e-01
2.721312700e+00	1.833516393e-01
2.731819699e+00	2.798021721e-01
2.742326698e+00	3.979164750e-01
2.752833696e+00	5.201047522e-01
