freq(Hz)	1.50e+09	eps_r	100000000.0	mu_r	0.0	sigma	0.00e+00
theta(rad)	RCS(m^2)
0.000000000e+00	2.020254193e+02
1.050699884e-02	2.007273928e+02
2.101399768e-02	1.968794595e+02
3.152099652e-02	1.906174942e+02
4.202799537e-02	1.821595963e+02
5.253499421e-02	1.717941912e+02
6.304199305e-02	1.598645937e+02
7.354899189e-02	1.467511280e+02
8.405599073e-02	1.328520412e+02
9.456298957e-02	1.185644920e+02
1.050699884e-01	1.042668282e+02
1.155769873e-01	9.030321155e+01
1.260839861e-01	7.697141241e+01
1.365909849e-01	6.451430376e+01
1.470979838e-01	5.311527289e+01
1.576049826e-01	4.289745517e+01
1.681119815e-01	3.392641543e+01
1.786189803e-01	2.621567708e+01
1.891259791e-01	1.973434524e+01
1.996329780e-01	1.441599578e+01
2.101399768e-01	1.016800919e+01
2.206469757e-01	6.880606886e+00
2.311539745e-01	4.434985968e+00
2.416609734e-01	2.710125647e+00
2.521679722e-01	1.588033727e+00
2.626749710e-01	9.573927596e-01
2.731819699e-01	7.157329258e-01
2.836889687e-01	7.703871156e-01
2.941959676e-01	1.038563162e+00
3.047029664e-01	1.446895219e+00
3.152099652e-01	1.930813558e+00
3.257169641e-01	2.434007867e+00
3.362239629e-01	2.908165941e+00
3.467309618e-01	3.313062399e+00
3.572379606e-01	3.616966317e+00
3.677449595e-01	3.797246668e+00
3.782519583e-01	3.840991450e+00
3.887589571e-01	3.745427659e+00
3.992659560e-01	3.517937077e+00
4.097729548e-01	3.175504853e+00
4.202799537e-01	2.743507237e+00
4.307869525e-01	2.253831516e+00
4.412939513e-01	1.742413223e+00
4.518009502e-01	1.246360624e+00
4.623079490e-01	8.009030803e-01
4.728149479e-01	4.364394299e-01
4.833219467e-01	1.759696234e-01
4.938289455e-01	3.316641714e-02
5.043359444e-01	1.128666141e-02
5.148429432e-01	1.030402555e-01
5.253499421e-01	2.914384680e-01
5.358569409e-01	5.515430712e-01
5.463639398e-01	8.529449678e-01
5.568709386e-01	1.162726105e+00
5.673779374e-01	1.448609711e+00
5.778849363e-01	1.681986467e+00
5.883919351e-01	1.840519801e+00
5.988989340e-01	1.910079962e+00
6.094059328e-01	1.885828581e+00
6.199129316e-01	1.772364858e+00
6.304199305e-01	1.582941582e+00
6.409269293e-01	1.337853409e+00
6.514339282e-01	1.062181308e+00
6.619409270e-01	7.831376347e-01
6.724479259e-01	5.272899477e-01
6.829549247e-01	3.179458663e-01
6.934619235e-01	1.729561571e-01
7.039689224e-01	1.031425543e-01
7.144759212e-01	1.114865075e-01
7.249829201e-01	1.931331305e-01
7.354899189e-01	3.361799693e-01
7.459969177e-01	5.231416862e-01
7.565039166e-01	7.329172537e-01
7.670109154e-01	9.430419159e-01
7.775179143e-01	1.131985785e+00
7.880249131e-01	1.281265662e+00
7.985319119e-01	1.377165004e+00
8.090389108e-01	1.411905025e+00
8.195459096e-01	1.384171950e+00
8.300529085e-01	1.298974526e+00
8.405599073e-01	1.166874593e+00
8.510669062e-01	1.002694950e+00
8.615739050e-01	8.238568152e-01
8.720809038e-01	6.485297666e-01
8.825879027e-01	4.937877124e-01
8.930949015e-01	3.739551002e-01
9.036019004e-01	2.993001000e-01
9.141088992e-01	2.751895244e-01
9.246158980e-01	3.017687354e-01
9.351228969e-01	3.741743750e-01
