freq(Hz)	1.00e+09	eps_r	4	mu_r	1	sigma	0.00e+00
theta(rad)	RCS(m^2)
0.000000000e+00	7.920332697e+00
1.050699884e-02	7.906743936e+00
2.101399768e-02	7.866075017e+00
3.152099652e-02	7.798617600e+00
4.202799537e-02	7.704856351e+00
5.253499421e-02	7.585466785e+00
6.304199305e-02	7.441312239e+00
7.354899189e-02	7.273439953e+00
8.405599073e-02	7.083076196e+00
9.456298957e-02	6.871620363e+00
1.050699884e-01	6.640637885e+00
1.155769873e-01	6.391851784e+00
1.260839861e-01	6.127132623e+00
1.365909849e-01	5.848486585e+00
1.470979838e-01	5.558041353e+00
1.576049826e-01	5.258029525e+00
1.681119815e-01	4.950769244e+00
1.786189803e-01	4.638641871e+00
1.891259791e-01	4.324066563e+00
1.996329780e-01	4.009471801e+00
2.101399768e-01	3.697264067e+00
2.206469757e-01	3.389794069e+00
2.311539745e-01	3.089321134e+00
2.416609734e-01	2.797976606e+00
2.521679722e-01	2.517727285e+00
2.626749710e-01	2.250340125e+00
2.731819699e-01	1.997349534e+00
2.836889687e-01	1.760028695e+00
2.941959676e-01	1.539366313e+00
3.047029664e-01	1.336050119e+00
3.152099652e-01	1.150458269e+00
3.257169641e-01	9.826595546e-01
3.362239629e-01	8.324229542e-01
3.467309618e-01	6.992367104e-01
3.572379606e-01	5.823366282e-01
3.677449595e-01	4.807428438e-01
3.782519583e-01	3.933038398e-01
3.887589571e-01	3.187460508e-01
3.992659560e-01	2.557270267e-01
4.097729548e-01	2.028898386e-01
4.202799537e-01	1.589162340e-01
4.307869525e-01	1.225759998e-01
4.412939513e-01	9.277008518e-02
4.518009502e-01	6.856526924e-02
4.623079490e-01	4.921852848e-02
4.728149479e-01	3.418975420e-02
4.833219467e-01	2.314206049e-02
4.938289455e-01	1.592958695e-02
5.043359444e-01	1.257339532e-02
5.148429432e-01	1.322674898e-02
5.253499421e-01	1.813170598e-02
5.358569409e-01	2.756951052e-02
5.463639398e-01	4.180769742e-02
5.568709386e-01	6.104709848e-02
5.673779374e-01	8.537203638e-02
5.778849363e-01	1.147068985e-01
5.883919351e-01	1.487819981e-01
5.988989340e-01	1.871111639e-01
6.094059328e-01	2.289828735e-01
6.199129316e-01	2.734659938e-01
6.304199305e-01	3.194303504e-01
6.409269293e-01	3.655814728e-01
6.514339282e-01	4.105079948e-01
6.619409270e-01	4.527393928e-01
6.724479259e-01	4.908110592e-01
6.829549247e-01	5.233331857e-01
6.934619235e-01	5.490596006e-01
7.039689224e-01	5.669525998e-01
7.144759212e-01	5.762399336e-01
7.249829201e-01	5.764604674e-01
7.354899189e-01	5.674956056e-01
7.459969177e-01	5.495843231e-01
7.565039166e-01	5.233205469e-01
7.670109154e-01	4.896326242e-01
7.775179143e-01	4.497456376e-01
7.880249131e-01	4.051283290e-01
7.985319119e-01	3.574273030e-01
8.090389108e-01	3.083919534e-01
8.195459096e-01	2.597941240e-01
8.300529085e-01	2.133468650e-01
8.405599073e-01	1.706267315e-01
8.510669062e-01	1.330038961e-01
8.615739050e-01	1.015839159e-01
