freq(Hz)	3.00e+15	eps_r	100000000.0	mu_r	0.0	sigma	0.00e+00
theta(rad)	RCS(m^2)
0.000000000e+00	8.313192495e-13
1.050699884e-02	8.311899847e-13
2.101399768e-02	8.308026539e-13
3.152099652e-02	8.301598963e-13
4.202799537e-02	8.292701063e-13
5.253499421e-02	8.281528295e-13
6.304199305e-02	8.268450226e-13
7.354899189e-02	8.254067695e-13
8.405599073e-02	8.239246919e-13
9.456298957e-02	8.225112379e-13
1.050699884e-01	8.212984194e-13
1.155769873e-01	8.204254656e-13
1.260839861e-01	8.200211414e-13
1.365909849e-01	8.201828919e-13
1.470979838e-01	8.209561692e-13
1.576049826e-01	8.223179212e-13
1.681119815e-01	8.241680651e-13
1.786189803e-01	8.263317711e-13
1.891259791e-01	8.285737189e-13
1.996329780e-01	8.306234758e-13
2.101399768e-01	8.322091621e-13
2.206469757e-01	8.330949903e-13
2.311539745e-01	8.331173399e-13
2.416609734e-01	8.322138947e-13
2.521679722e-01	8.304410046e-13
2.626749710e-01	8.279757653e-13
2.731819699e-01	8.251011604e-13
2.836889687e-01	8.221748227e-13
2.941959676e-01	8.195843222e-13
3.047029664e-01	8.176941259e-13
3.152099652e-01	8.167911966e-13
3.257169641e-01	8.170372563e-13
3.362239629e-01	8.184357196e-13
3.467309618e-01	8.208199824e-13
3.572379606e-01	8.238671054e-13
3.677449595e-01	8.271372134e-13
3.782519583e-01	8.301346407e-13
3.887589571e-01	8.323827186e-13
3.992659560e-01	8.335009281e-13
4.097729548e-01	8.332716422e-13
4.202799537e-01	8.316843293e-13
4.307869525e-01	8.289479695e-13
4.412939513e-01	8.254672306e-13
4.518009502e-01	8.217839350e-13
4.623079490e-01	8.184915547e-13
4.728149479e-01	8.161357916e-13
4.833219467e-01	8.151177339e-13
4.938289455e-01	8.156168652e-13
5.043359444e-01	8.175489810e-13
5.148429432e-01	8.205689705e-13
5.253499421e-01	8.241210859e-13
5.358569409e-01	8.275308537e-13
5.463639398e-01	8.301246081e-13
5.568709386e-01	8.313562847e-13
5.673779374e-01	8.309180090e-13
5.778849363e-01	8.288120997e-13
5.883919351e-01	8.253676386e-13
5.988989340e-01	8.211941597e-13
6.094059328e-01	8.170768196e-13
6.199129316e-01	8.138295058e-13
6.304199305e-01	8.121322658e-13
6.409269293e-01	8.123849018e-13
6.514339282e-01	8.146079683e-13
6.619409270e-01	8.184152200e-13
6.724479259e-01	8.230686554e-13
6.829549247e-01	8.276108605e-13
6.934619235e-01	8.310525555e-13
7.039689224e-01	8.325796786e-13
7.144759212e-01	8.317372290e-13
7.249829201e-01	8.285486181e-13
7.354899189e-01	8.235399060e-13
7.459969177e-01	8.176565624e-13
7.565039166e-01	8.120829844e-13
7.670109154e-01	8.079973159e-13
7.775179143e-01	8.063111520e-13
7.880249131e-01	8.074511402e-13
7.985319119e-01	8.112347171e-13
8.090389108e-01	8.168751442e-13
8.195459096e-01	8.231243614e-13
8.300529085e-01	8.285311663e-13
8.405599073e-01	8.317636564e-13
8.510669062e-01	8.319256561e-13
8.615739050e-01	8.287924571e-13
8.720809038e-01	8.229041321e-13
8.825879027e-01	8.154835302e-13
8.930949015e-01	8.081854284e-13
9.036019004e-01	8.027246561e-13
9.141088992e-01	8.004643947e-13
9.246158980e-01	8.020622784e-13
9.351228969e-01	8.072656775e-13
9.456298957e-01	8.149180001e-13
9.561368946e-01	8.231902010e-13
9.666438934e-01	8.299962541e-13
9.771508923e-01	8.335014936e-13
9.876578911e-01	8.326017355e-13
9.981648899e-01	8.272487140e-13
1.008671889e+00	8.185268985e-13
1.019178888e+00	8.084434893e-13
1.029685886e+00	7.994650119e-13
1.040192885e+00	7.939029609e-13
1.050699884e+00	7.932988788e-13
1.061206883e+00	7.979713881e-13
1.071713882e+00	8.068574818e-13
1.082220881e+00	8.177120546e-13
1.092727880e+00	8.276382195e-13
1.103234878e+00	8.338291564e-13
1.113741877e+00	8.343351723e-13
1.124248876e+00	8.286480092e-13
1.134755875e+00	8.179283593e-13
1.145262874e+00	8.047876508e-13
1.155769873e+00	7.926523163e-13
1.166276871e+00	7.848579144e-13
1.176783870e+00	7.837081426e-13
1.187290869e+00	7.897621900e-13
1.197797868e+00	8.015695546e-13
1.208304867e+00	8.159605698e-13
1.218811866e+00	8.288494726e-13
1.229318864e+00	8.363552324e-13
1.239825863e+00	8.359377636e-13
1.250332862e+00	8.272190823e-13
1.260839861e+00	8.122258097e-13
1.271346860e+00	7.949398118e-13
1.281853859e+00	7.802403220e-13
1.292360857e+00	7.725088584e-13
1.302867856e+00	7.742903077e-13
1.313374855e+00	7.854169785e-13
1.323881854e+00	8.028935872e-13
1.334388853e+00	8.216325443e-13
1.344895852e+00	8.358758158e-13
1.355402851e+00	8.409161852e-13
1.365909849e+00	8.346087313e-13
1.376416848e+00	8.181895339e-13
1.386923847e+00	7.960976763e-13
1.397430846e+00	7.747854961e-13
1.407937845e+00	7.608190590e-13
1.418444844e+00	7.588179350e-13
1.428951842e+00	7.698758705e-13
1.439458841e+00	7.909990760e-13
1.449965840e+00	8.158134266e-13
1.460472839e+00	8.364026418e-13
1.470979838e+00	8.457637805e-13
1.481486837e+00	8.401275916e-13
1.491993835e+00	8.203790173e-13
1.502500834e+00	7.920505577e-13
1.513007833e+00	7.637909941e-13
1.523514832e+00	7.447079847e-13
1.534021831e+00	7.413859398e-13
1.544528830e+00	7.555480914e-13
1.555035829e+00	7.831880699e-13
1.565542827e+00	8.155640654e-13
1.576049826e+00	8.418499563e-13
1.586556825e+00	8.526619853e-13
1.597063824e+00	8.433246842e-13
1.607570823e+00	8.157453203e-13
1.618077822e+00	7.781598134e-13
1.628584820e+00	7.426909244e-13
1.639091819e+00	7.214102109e-13
