freq(Hz)	8.99e+08	eps_r	4	mu_r	1	sigma	0.00e+00
theta(rad)	RCS(m^2)
0.000000000e+00	1.035728756e+02
1.050699884e-02	1.032248753e+02
2.101399768e-02	1.021865780e+02
3.152099652e-02	1.004749637e+02
4.202799537e-02	9.811790132e+01
5.253499421e-02	9.515351450e+01
6.304199305e-02	9.162931975e+01
7.354899189e-02	8.760116026e+01
8.405599073e-02	8.313196592e+01
9.456298957e-02	7.829037367e+01
1.050699884e-01	7.314924614e+01
1.155769873e-01	6.778412840e+01
1.260839861e-01	6.227168389e+01
1.365909849e-01	5.668815001e+01
1.470979838e-01	5.110785200e+01
1.576049826e-01	4.560181156e+01
1.681119815e-01	4.023648201e+01
1.786189803e-01	3.507263773e+01
1.891259791e-01	3.016443985e+01
1.996329780e-01	2.555869430e+01
2.101399768e-01	2.129431229e+01
2.206469757e-01	1.740197683e+01
2.311539745e-01	1.390401321e+01
2.416609734e-01	1.081445520e+01
2.521679722e-01	8.139293995e+00
2.626749710e-01	5.876892354e+00
2.731819699e-01	4.018542619e+00
2.836889687e-01	2.549144787e+00
2.941959676e-01	1.447978877e+00
3.047029664e-01	6.895450565e-01
3.152099652e-01	2.444450325e-01
3.257169641e-01	8.027918779e-02
3.362239629e-01	1.625355923e-01
3.467309618e-01	4.554493811e-01
3.572379606e-01	9.228138237e-01
3.677449595e-01	1.528727613e+00
3.782519583e-01	2.238266321e+00
3.887589571e-01	3.018069442e+00
3.992659560e-01	3.836837850e+00
4.097729548e-01	4.665739688e+00
4.202799537e-01	5.478725601e+00
4.307869525e-01	6.252756721e+00
4.412939513e-01	6.967950851e+00
4.518009502e-01	7.607653854e+00
4.623079490e-01	8.158444314e+00
4.728149479e-01	8.610080112e+00
4.833219467e-01	8.955395714e+00
4.938289455e-01	9.190158702e+00
5.043359444e-01	9.312893539e+00
5.148429432e-01	9.324679737e+00
5.253499421e-01	9.228930659e+00
5.358569409e-01	9.031158151e+00
5.463639398e-01	8.738727193e+00
5.568709386e-01	8.360603812e+00
5.673779374e-01	7.907098699e+00
5.778849363e-01	7.389608363e+00
5.883919351e-01	6.820355212e+00
5.988989340e-01	6.212127786e+00
6.094059328e-01	5.578022355e+00
6.199129316e-01	4.931187297e+00
6.304199305e-01	4.284572039e+00
6.409269293e-01	3.650682799e+00
6.514339282e-01	3.041347860e+00
6.619409270e-01	2.467495680e+00
6.724479259e-01	1.938949519e+00
6.829549247e-01	1.464242688e+00
6.934619235e-01	1.050458648e+00
7.039689224e-01	7.031001999e-01
7.144759212e-01	4.259917983e-01
7.249829201e-01	2.212184999e-01
7.354899189e-01	8.910442266e-02
7.459969177e-01	2.823264388e-02
