freq(Hz)	3.00e+15	eps_r	1.0	mu_r	1	sigma	0.00e+00
theta(rad)	RCS(m^2)
0.000000000e+00	1.959163852e-21
1.050699884e-02	1.959473603e-21
2.101399768e-02	1.960385916e-21
3.152099652e-02	1.961849879e-21
4.202799537e-02	1.963780347e-21
5.253499421e-02	1.966057531e-21
6.304199305e-02	1.968526488e-21
7.354899189e-02	1.970996560e-21
8.405599073e-02	1.973240850e-21
9.456298957e-02	1.974995826e-21
1.050699884e-01	1.975961162e-21
1.155769873e-01	1.975799943e-21
1.260839861e-01	1.974139383e-21
1.365909849e-01	1.970572208e-21
1.470979838e-01	1.964658871e-21
1.576049826e-01	1.955930783e-21
1.681119815e-01	1.943894734e-21
1.786189803e-01	1.928038689e-21
1.891259791e-01	1.907839130e-21
1.996329780e-01	1.882770114e-21
2.101399768e-01	1.852314159e-21
2.206469757e-01	1.815975087e-21
2.311539745e-01	1.773292867e-21
2.416609734e-01	1.723860453e-21
2.521679722e-01	1.667342553e-21
2.626749710e-01	1.603496159e-21
2.731819699e-01	1.532192577e-21
2.836889687e-01	1.453440574e-21
2.941959676e-01	1.367410129e-21
3.047029664e-01	1.274456114e-21
3.152099652e-01	1.175141106e-21
3.257169641e-01	1.070256332e-21
3.362239629e-01	9.608396191e-22
3.467309618e-01	8.481890393e-22
3.572379606e-01	7.338708343e-22
3.677449595e-01	6.197200708e-22
3.782519583e-01	5.078324354e-22
3.887589571e-01	4.005455732e-22
3.992659560e-01	3.004084530e-22
4.097729548e-01	2.101374218e-22
4.202799537e-01	1.325579025e-22
4.307869525e-01	7.053111241e-23
4.412939513e-01	2.686574968e-23
4.518009502e-01	4.215310125e-24
4.623079490e-01	4.962565554e-24
4.728149479e-01	3.109373582e-23
4.833219467e-01	8.406600118e-23
4.938289455e-01	1.646731855e-22
5.043359444e-01	2.729156388e-22
5.148429432e-01	4.078814847e-22
5.253499421e-01	5.676473843e-22
5.358569409e-01	7.492076970e-22
5.463639398e-01	9.484412748e-22
5.568709386e-01	1.160124989e-21
5.673779374e-01	1.378002342e-21
5.778849363e-01	1.594914057e-21
5.883919351e-01	1.802995282e-21
5.988989340e-01	1.993940981e-21
6.094059328e-01	2.159337190e-21
6.199129316e-01	2.291051185e-21
6.304199305e-01	2.381668476e-21
6.409269293e-01	2.424958989e-21
6.514339282e-01	2.416349366e-21
6.619409270e-01	2.353373264e-21
6.724479259e-01	2.236067433e-21
6.829549247e-01	2.067278759e-21
6.934619235e-01	1.852846823e-21
7.039689224e-01	1.601628542e-21
7.144759212e-01	1.325336335e-21
7.249829201e-01	1.038169506e-21
7.354899189e-01	7.562300008e-22
7.459969177e-01	4.967283660e-22
7.565039166e-01	2.770028611e-22
7.670109154e-01	1.133935146e-22
7.775179143e-01	2.003205086e-23
7.880249131e-01	7.626480750e-24
7.985319119e-01	8.233381525e-23
8.090389108e-01	2.448237878e-22
8.195459096e-01	4.896386294e-22
8.300529085e-01	8.049470520e-22
8.405599073e-01	1.172773371e-21
8.510669062e-01	1.569754596e-21
8.615739050e-01	1.968439802e-21
8.720809038e-01	2.339098834e-21
8.825879027e-01	2.651954303e-21
8.930949015e-01	2.879696297e-21
9.036019004e-01	3.000088444e-21
9.141088992e-01	2.998433343e-21
9.246158980e-01	2.869641149e-21
9.351228969e-01	2.619643352e-21
9.456298957e-01	2.265919211e-21
9.561368946e-01	1.836957460e-21
9.666438934e-01	1.370560367e-21
9.771508923e-01	9.110071405e-22
9.876578911e-01	5.052209239e-22
9.981648899e-01	1.982167330e-22
1.008671889e+00	2.823151675e-23
1.019178888e+00	2.203541061e-23
1.029685886e+00	1.909780741e-22
1.040192885e+00	5.283208661e-22
1.050699884e+00	1.008334108e-21
1.061206883e+00	1.587495377e-21
1.071713882e+00	2.207915185e-21
1.082220881e+00	2.802856082e-21
1.092727880e+00	3.303925990e-21
1.103234878e+00	3.649250345e-21
1.113741877e+00	3.791700262e-21
1.124248876e+00	3.706115309e-21
1.134755875e+00	3.394444999e-21
1.145262874e+00	2.887866153e-21
1.155769873e+00	2.245220285e-21
1.166276871e+00	1.547540522e-21
1.176783870e+00	8.889616968e-22
1.187290869e+00	3.648685081e-22
1.197797868e+00	5.865575806e-23
1.208304867e+00	2.886510591e-23
1.218811866e+00	2.986422628e-22
1.229318864e+00	8.493642454e-22
1.239825863e+00	1.619888444e-21
1.250332862e+00	2.512188758e-21
1.260839861e+00	3.403234443e-21
1.271346860e+00	4.161949120e-21
1.281853859e+00	4.669113561e-21
1.292360857e+00	4.837318180e-21
1.302867856e+00	4.627693319e-21
1.313374855e+00	4.060272236e-21
1.323881854e+00	3.215529542e-21
1.334388853e+00	2.225851457e-21
1.344895852e+00	1.257297037e-21
