freq(Hz)	3.00e+15	eps_r	4	mu_r	1	sigma	0.00e+00
theta(rad)	RCS(m^2)
0.000000000e+00	2.939496732e-11
1.050699884e-02	2.883945733e-11
2.101399768e-02	2.723352184e-11
3.152099652e-02	2.474931537e-11
4.202799537e-02	2.164356508e-11
5.253499421e-02	1.821848431e-11
6.304199305e-02	1.477800617e-11
7.354899189e-02	1.158726564e-11
8.405599073e-02	8.842086939e-12
9.456298957e-02	6.652752157e-12
1.050699884e-01	5.043194543e-12
1.155769873e-01	3.963725734e-12
1.260839861e-01	3.313118468e-12
1.365909849e-01	2.964724107e-12
1.470979838e-01	2.791391235e-12
1.576049826e-01	2.685063540e-12
1.681119815e-01	2.568673892e-12
1.786189803e-01	2.399850716e-12
1.891259791e-01	2.167596337e-12
1.996329780e-01	1.884199761e-12
2.101399768e-01	1.575087786e-12
2.206469757e-01	1.269132470e-12
2.311539745e-01	9.912703347e-13
2.416609734e-01	7.583667733e-13
2.521679722e-01	5.783122371e-13
2.626749710e-01	4.515733601e-13
2.731819699e-01	3.739893641e-13
2.836889687e-01	3.395629910e-13
2.941959676e-01	3.423096871e-13
3.047029664e-01	3.767734638e-13
3.152099652e-01	4.374088372e-13
3.257169641e-01	5.174732395e-13
3.362239629e-01	6.082311185e-13
3.467309618e-01	6.990956865e-13
3.572379606e-01	7.789005066e-13
3.677449595e-01	8.379707371e-13
3.782519583e-01	8.702607440e-13
3.887589571e-01	8.747093030e-13
3.992659560e-01	8.551968184e-13
4.097729548e-01	8.189943875e-13
4.202799537e-01	7.741807992e-13
4.307869525e-01	7.269353899e-13
4.412939513e-01	6.797064546e-13
4.518009502e-01	6.309500303e-13
4.623079490e-01	5.765358331e-13
4.728149479e-01	5.122559824e-13
4.833219467e-01	4.364160112e-13
4.938289455e-01	3.514329894e-13
5.043359444e-01	2.637511514e-13
5.148429432e-01	1.820678861e-13
5.253499421e-01	1.145680920e-13
5.358569409e-01	6.629714911e-14
5.463639398e-01	3.776948417e-14
5.568709386e-01	2.540808754e-14
5.673779374e-01	2.363732842e-14
5.778849363e-01	2.772857421e-14
5.883919351e-01	3.613918299e-14
5.988989340e-01	5.126091427e-14
6.094059328e-01	7.815097451e-14
6.199129316e-01	1.216946049e-13
6.304199305e-01	1.833730662e-13
6.409269293e-01	2.590646330e-13
6.514339282e-01	3.389575389e-13
6.619409270e-01	4.098249353e-13
6.724479259e-01	4.589356113e-13
6.829549247e-01	4.781582863e-13
6.934619235e-01	4.666720445e-13
7.039689224e-01	4.311980764e-13
7.144759212e-01	3.836234699e-13
7.249829201e-01	3.369072033e-13
7.354899189e-01	3.008212233e-13
7.459969177e-01	2.791127127e-13
7.565039166e-01	2.690693799e-13
7.670109154e-01	2.634881262e-13
7.775179143e-01	2.541043988e-13
7.880249131e-01	2.350257194e-13
7.985319119e-01	2.048259520e-13
8.090389108e-01	1.666194437e-13
8.195459096e-01	1.263341527e-13
8.300529085e-01	9.013733337e-14
8.405599073e-01	6.222417104e-14
8.510669062e-01	4.387484889e-14
8.615739050e-01	3.399358958e-14
8.720809038e-01	3.060947784e-14
8.825879027e-01	3.239396172e-14
8.930949015e-01	3.932523929e-14
9.036019004e-01	5.215019164e-14
9.141088992e-01	7.098892378e-14
9.246158980e-01	9.394085973e-14
9.351228969e-01	1.166190564e-13
9.456298957e-01	1.331136433e-13
9.561368946e-01	1.381624265e-13
9.666438934e-01	1.296354216e-13
9.771508923e-01	1.101562237e-13
9.876578911e-01	8.694831305e-14
9.981648899e-01	6.971499938e-14
1.008671889e+00	6.722677397e-14
1.019178888e+00	8.391099430e-14
1.029685886e+00	1.178275864e-13
1.040192885e+00	1.609146952e-13
1.050699884e+00	2.015031472e-13
1.061206883e+00	2.282003206e-13
1.071713882e+00	2.337083210e-13
1.082220881e+00	2.171836586e-13
1.092727880e+00	1.843320942e-13
1.103234878e+00	1.453037467e-13
1.113741877e+00	1.112470498e-13
1.124248876e+00	9.078974019e-14
1.134755875e+00	8.761722161e-14
1.145262874e+00	9.980854253e-14
1.155769873e+00	1.209185847e-13
1.166276871e+00	1.422422508e-13
1.176783870e+00	1.554469801e-13
1.187290869e+00	1.548360591e-13
1.197797868e+00	1.387853901e-13
1.208304867e+00	1.102011588e-13
1.218811866e+00	7.604108983e-14
1.229318864e+00	4.600415342e-14
1.239825863e+00	3.050412760e-14
1.250332862e+00	3.811810289e-14
1.260839861e+00	7.290171864e-14
1.271346860e+00	1.322315264e-13
1.281853859e+00	2.060075816e-13
1.292360857e+00	2.779376246e-13
1.302867856e+00	3.291297739e-13
1.313374855e+00	3.434233255e-13
1.323881854e+00	3.130531254e-13
1.334388853e+00	2.427361952e-13
1.344895852e+00	1.503972543e-13
1.355402851e+00	6.360786852e-14
1.365909849e+00	1.220310065e-14
1.376416848e+00	1.900363503e-14
1.386923847e+00	9.155170371e-14
1.397430846e+00	2.178208107e-13
1.407937845e+00	3.678434036e-13
1.418444844e+00	5.013709862e-13
1.428951842e+00	5.796217719e-13
1.439458841e+00	5.776010343e-13
1.449965840e+00	4.929941501e-13
1.460472839e+00	3.484776395e-13
1.470979838e+00	1.862589327e-13
1.481486837e+00	5.613054899e-14
1.491993835e+00	4.984607450e-16
1.502500834e+00	4.098190446e-14
1.513007833e+00	1.708735985e-13
1.523514832e+00	3.560543309e-13
1.534021831e+00	5.443860785e-13
1.544528830e+00	6.809629713e-13
1.555035829e+00	7.247105518e-13
1.565542827e+00	6.612903812e-13
1.576049826e+00	5.082716509e-13
1.586556825e+00	3.107865202e-13
1.597063824e+00	1.287243637e-13
1.607570823e+00	1.909714638e-14
1.618077822e+00	1.875119019e-14
1.628584820e+00	1.326345011e-13
1.639091819e+00	3.313137838e-13
1.649598818e+00	5.587814484e-13
1.660105817e+00	7.485496627e-13
1.670612816e+00	8.434781107e-13
1.681119815e+00	8.134925148e-13
1.691626813e+00	6.657525170e-13
1.702133812e+00	4.438750700e-13
1.712640811e+00	2.159816825e-13
1.723147810e+00	5.472464793e-14
1.733654809e+00	1.504997945e-14
1.744161808e+00	1.164383391e-13
1.754668807e+00	3.353326985e-13
1.765175805e+00	6.106068469e-13
1.775682804e+00	8.610225072e-13
1.786189803e+00	1.009816388e-12
1.796696802e+00	1.009053230e-12
1.807203801e+00	8.560513670e-13
1.817710800e+00	5.962773306e-13
1.828217798e+00	3.111024427e-13
1.838724797e+00	9.355603762e-14
1.849231796e+00	1.921748190e-14
1.859738795e+00	1.213242398e-13
1.870245794e+00	3.782865196e-13
1.880752793e+00	7.182155917e-13
1.891259791e+00	1.039807532e-12
1.901766790e+00	1.243602277e-12
1.912273789e+00	1.263994848e-12
1.922780788e+00	1.091688824e-12
1.933287787e+00	7.789224706e-13
1.943794786e+00	4.250589123e-13
1.954301785e+00	1.464090275e-13
1.964808783e+00	3.943616478e-14
1.975315782e+00	1.490019409e-13
1.985822781e+00	4.521171105e-13
1.996329780e+00	8.630086909e-13
2.006836779e+00	1.258599670e-12
2.017343778e+00	1.516845116e-12
2.027850776e+00	1.555955400e-12
2.038357775e+00	1.361876599e-12
2.048864774e+00	9.948194442e-13
2.059371773e+00	5.721344483e-13
2.069878772e+00	2.323894567e-13
2.080385771e+00	9.168895246e-14
2.090892769e+00	2.060441039e-13
2.101399768e+00	5.519852343e-13
2.111906767e+00	1.032033857e-12
2.122413766e+00	1.503838769e-12
2.132920765e+00	1.824202081e-12
2.143427764e+00	1.894312445e-12
2.153934762e+00	1.691876815e-12
2.164441761e+00	1.279758583e-12
2.174948760e+00	7.879989745e-13
2.185455759e+00	3.744489410e-13
2.195962758e+00	1.760363231e-13
2.206469757e+00	2.657774873e-13
2.216976756e+00	6.290153681e-13
2.227483754e+00	1.166508430e-12
2.237990753e+00	1.723718666e-12
2.248497752e+00	2.137522005e-12
2.259004751e+00	2.286115487e-12
2.269511750e+00	2.126813206e-12
2.280018749e+00	1.710044630e-12
2.290525747e+00	1.165082704e-12
2.301032746e+00	6.616269081e-13
2.311539745e+00	3.587288075e-13
2.322046744e+00	3.564446438e-13
2.332553743e+00	6.648611254e-13
2.343060742e+00	1.199996344e-12
2.353567740e+00	1.808071980e-12
2.364074739e+00	2.311170770e-12
2.374581738e+00	2.560847472e-12
2.385088737e+00	2.483755849e-12
2.395595736e+00	2.105534529e-12
2.406102735e+00	1.545443982e-12
2.416609734e+00	9.827702511e-13
2.427116732e+00	6.043525137e-13
2.437623731e+00	5.483323923e-13
2.448130730e+00	8.606673374e-13
2.458637729e+00	1.477610274e-12
2.469144728e+00	2.240105631e-12
2.479651727e+00	2.936897299e-12
2.490158725e+00	3.364687657e-12
2.500665724e+00	3.388394148e-12
2.511172723e+00	2.984039325e-12
2.521679722e+00	2.251356307e-12
2.532186721e+00	1.391596737e-12
2.542693720e+00	6.559228588e-13
2.553200718e+00	2.782726451e-13
2.563707717e+00	4.111755362e-13
2.574214716e+00	1.082266751e-12
